Frequency,Channel A
(kHz),(dBV)

0.00000000,-43.57318000
0.00061035,-42.11304000
0.00122070,-47.03995000
0.00183105,-45.72134000
0.00244141,-43.39576000
0.00305176,-44.83120000
0.00366211,-34.92991000
0.00427246,-29.12064000
0.00488281,-28.89486000
0.00549316,-34.84832000
0.00610352,-38.74118000
0.00671387,-38.08719000
0.00732422,-44.90291000
0.00793457,-39.30106000
0.00854492,-45.04932000
0.00915527,-39.41146000
0.00976563,-37.11801000
0.01037598,-35.93130000
0.01098633,-53.48332000
0.01159668,-37.49813000
0.01220703,-47.26076000
0.01281738,-33.10114000
0.01342773,-30.52137000
0.01403809,-33.42989000
0.01464844,-47.63753000
0.01525879,-43.11678000
0.01586914,-40.01315000
0.01647949,-38.84946000
0.01708984,-33.86952000
0.01770020,-32.51641000
0.01831055,-39.60344000
0.01892090,-44.34037000
0.01953125,-42.53797000
0.02014160,-55.87843000
0.02075195,-47.44063000
0.02136230,-43.71564000
0.02197266,-43.75132000
0.02258301,-53.54663000
0.02319336,-39.96600000
0.02380371,-38.42844000
0.02441406,-41.52811000
0.02502441,-46.58229000
0.02563477,-53.09731000
0.02624512,-44.26947000
0.02685547,-44.29035000
0.02746582,-42.41172000
0.02807617,-36.98655000
0.02868652,-46.77080000
0.02929688,-46.66785000
0.02990723,-47.28451000
0.03051758,-41.60743000
0.03112793,-39.74413000
0.03173828,-52.52775000
0.03234863,-50.01319000
0.03295898,-40.35363000
0.03356934,-39.04566000
0.03417969,-38.65310000
0.03479004,-36.67136000
0.03540039,-44.98131000
0.03601074,-36.87491000
0.03662109,-37.14337000
0.03723145,-44.22372000
0.03784180,-42.96446000
0.03845215,-45.23117000
0.03906250,-51.92844000
0.03967285,-50.39738000
0.04028320,-49.12760000
0.04089355,-53.17191000
0.04150391,-44.55258000
0.04211426,-41.79803000
0.04272461,-51.38675000
0.04333496,-47.99809000
0.04394531,-42.60982000
0.04455566,-40.81541000
0.04516602,-37.77487000
0.04577637,-39.89658000
0.04638672,-46.44703000
0.04699707,-55.71371000
0.04760742,-49.75217000
0.04821777,-54.59564000
0.04882813,-46.50691000
0.04943848,-43.81429000
0.05004883,-40.28606000
0.05065918,-43.23724000
0.05126953,-47.55982000
0.05187988,-48.04687000
0.05249023,-47.41287000
0.05310059,-49.70430000
0.05371094,-42.99616000
0.05432129,-53.35959000
0.05493164,-44.42585000
0.05554199,-42.96883000
0.05615234,-58.31114000
0.05676270,-45.53204000
0.05737305,-46.67085000
0.05798340,-50.12725000
0.05859375,-64.63962000
0.05920410,-43.52798000
0.05981445,-46.06284000
0.06042480,-42.65273000
0.06103516,-54.57545000
0.06164551,-43.42470000
0.06225586,-46.13964000
0.06286621,-48.79132000
0.06347656,-64.08970000
0.06408691,-61.90119000
0.06469727,-48.45961000
0.06530762,-50.27415000
0.06591797,-51.79713000
0.06652832,-44.89422000
0.06713867,-42.85207000
0.06774902,-42.28932000
0.06835938,-49.16584000
0.06896973,-47.25761000
0.06958008,-43.25205000
0.07019043,-47.25628000
0.07080078,-53.06387000
0.07141113,-51.78310000
0.07202148,-46.25511000
0.07263184,-50.08128000
0.07324219,-45.66730000
0.07385254,-60.04440000
0.07446289,-55.06586000
0.07507324,-46.77220000
0.07568359,-50.20605000
0.07629395,-49.18608000
0.07690430,-48.51083000
0.07751465,-53.95182000
0.07812500,-49.55252000
0.07873535,-53.52825000
0.07934570,-49.72706000
0.07995605,-53.53672000
0.08056641,-48.64634000
0.08117676,-54.27090000
0.08178711,-54.71599000
0.08239746,-46.41368000
0.08300781,-46.79609000
0.08361816,-53.28045000
0.08422852,-56.93069000
0.08483887,-49.27751000
0.08544922,-48.00437000
0.08605957,-60.43452000
0.08666992,-61.26641000
0.08728027,-53.36023000
0.08789063,-52.72898000
0.08850098,-44.15589000
0.08911133,-42.42899000
0.08972168,-42.43400000
0.09033203,-45.28609000
0.09094238,-55.50787000
0.09155273,-55.94784000
0.09216309,-53.39169000
0.09277344,-49.75411000
0.09338379,-43.77207000
0.09399414,-44.83868000
0.09460449,-45.82376000
0.09521484,-48.80647000
0.09582520,-55.53268000
0.09643555,-55.02541000
0.09704590,-54.88191000
0.09765625,-52.85473000
0.09826660,-50.63255000
0.09887695,-46.69384000
0.09948730,-48.76012000
0.10009766,-67.19172000
0.10070801,-60.62949000
0.10131836,-53.70660000
0.10192871,-47.44812000
0.10253906,-46.52679000
0.10314941,-43.38449000
0.10375977,-45.09765000
0.10437012,-56.19481000
0.10498047,-56.87021000
0.10559082,-57.03727000
0.10620117,-55.64882000
0.10681152,-55.18592000
0.10742188,-48.17157000
0.10803223,-48.12424000
0.10864258,-46.01063000
0.10925293,-59.18153000
0.10986328,-54.93616000
0.11047363,-49.99633000
0.11108398,-52.77913000
0.11169434,-47.67865000
0.11230469,-53.95612000
0.11291504,-53.04063000
0.11352539,-66.93097000
0.11413574,-50.02159000
0.11474609,-48.21757000
0.11535645,-51.01219000
0.11596680,-52.77324000
0.11657715,-62.67226000
0.11718750,-52.67220000
0.11779785,-49.13953000
0.11840820,-52.40036000
0.11901855,-52.09361000
0.11962891,-60.20209000
0.12023926,-55.34059000
0.12084961,-51.83319000
0.12145996,-57.63832000
0.12207031,-57.24596000
0.12268066,-51.48411000
0.12329102,-49.38370000
0.12390137,-59.10844000
0.12451172,-55.25188000
0.12512207,-57.38356000
0.12573242,-50.92686000
0.12634277,-50.08477000
0.12695313,-52.17342000
0.12756348,-48.53583000
0.12817383,-49.83229000
0.12878418,-51.09449000
0.12939453,-55.32117000
0.13000488,-61.92390000
0.13061523,-59.82907000
0.13122559,-56.23764000
0.13183594,-47.91143000
0.13244629,-54.11244000
0.13305664,-45.99869000
0.13366699,-46.05624000
0.13427734,-57.28940000
0.13488770,-54.55662000
0.13549805,-57.82249000
0.13610840,-45.47128000
0.13671875,-45.52843000
0.13732910,-50.68732000
0.13793945,-51.48987000
0.13854980,-57.17393000
0.13916016,-58.23990000
0.13977051,-48.80484000
0.14038086,-49.87846000
0.14099121,-60.71199000
0.14160156,-54.44443000
0.14221191,-56.66731000
0.14282227,-52.20398000
0.14343262,-57.14936000
0.14404297,-53.30713000
0.14465332,-55.57594000
0.14526367,-54.25306000
0.14587402,-59.51077000
0.14648438,-59.15584000
0.14709473,-62.23634000
0.14770508,-56.60112000
0.14831543,-61.79559000
0.14892578,-55.55637000
0.14953613,-54.06159000
0.15014648,-53.30479000
0.15075684,-50.20813000
0.15136719,-52.41095000
0.15197754,-58.11850000
0.15258789,-61.71001000
0.15319824,-50.99164000
0.15380859,-56.35334000
0.15441895,-57.67060000
0.15502930,-62.68692000
0.15563965,-57.06110000
0.15625000,-51.17963000
0.15686035,-53.99100000
0.15747070,-56.26070000
0.15808105,-54.13897000
0.15869141,-50.46397000
0.15930176,-51.76569000
0.15991211,-67.06476000
0.16052246,-68.21540000
0.16113281,-64.97293000
0.16174316,-57.81742000
0.16235352,-50.52550000
0.16296387,-58.93435000
0.16357422,-64.88052000
0.16418457,-59.57577000
0.16479492,-63.38330000
0.16540527,-57.40619000
0.16601563,-66.17033000
0.16662598,-62.71008000
0.16723633,-56.26810000
0.16784668,-62.63477000
0.16845703,-62.62133000
0.16906738,-74.48822000
0.16967773,-55.59097000
0.17028809,-54.27156000
0.17089844,-57.89679000
0.17150879,-55.68089000
0.17211914,-60.66706000
0.17272949,-59.72034000
0.17333984,-65.28339000
0.17395020,-61.38518000
0.17456055,-59.54166000
0.17517090,-62.11983000
0.17578125,-55.98922000
0.17639160,-55.79860000
0.17700195,-57.46525000
0.17761230,-53.88053000
0.17822266,-54.28055000
0.17883301,-55.64198000
0.17944336,-57.35065000
0.18005371,-53.86378000
0.18066406,-52.33741000
0.18127441,-52.79246000
0.18188477,-67.90403000
0.18249512,-52.70573000
0.18310547,-54.40021000
0.18371582,-56.93711000
0.18432617,-62.90651000
0.18493652,-54.69262000
0.18554688,-50.81269000
0.18615723,-50.16068000
0.18676758,-50.34299000
0.18737793,-47.95837000
0.18798828,-57.74812000
0.18859863,-58.27272000
0.18920898,-58.07964000
0.18981934,-55.50600000
0.19042969,-58.05976000
0.19104004,-52.47094000
0.19165039,-49.17175000
0.19226074,-55.20166000
0.19287109,-65.59370000
0.19348145,-63.46381000
0.19409180,-53.51774000
0.19470215,-51.07626000
0.19531250,-51.45891000
0.19592285,-57.13534000
0.19653320,-62.84084000
0.19714355,-66.61855000
0.19775391,-62.29597000
0.19836426,-60.84484000
0.19897461,-50.58110000
0.19958496,-54.93704000
0.20019531,-58.28939000
0.20080566,-54.81203000
0.20141602,-54.39790000
0.20202637,-52.70131000
0.20263672,-51.39326000
0.20324707,-50.17055000
0.20385742,-54.43903000
0.20446777,-60.15629000
0.20507813,-53.98096000
0.20568848,-53.63813000
0.20629883,-62.03030000
0.20690918,-69.74295000
0.20751953,-78.87579000
0.20812988,-60.75451000
0.20874023,-58.98436000
0.20935059,-53.08598000
0.20996094,-51.26339000
0.21057129,-55.81695000
0.21118164,-62.01170000
0.21179199,-61.11330000
0.21240234,-63.16446000
0.21301270,-64.48067000
0.21362305,-59.47254000
0.21423340,-67.05125000
0.21484375,-59.98349000
0.21545410,-58.77782000
0.21606445,-62.79316000
0.21667480,-65.51135000
0.21728516,-65.45657000
0.21789551,-60.91314000
0.21850586,-63.71946000
0.21911621,-56.55980000
0.21972656,-59.86019000
0.22033691,-56.40449000
0.22094727,-52.59507000
0.22155762,-65.37184000
0.22216797,-54.36162000
0.22277832,-51.20063000
0.22338867,-54.45054000
0.22399902,-64.75536000
0.22460938,-58.66444000
0.22521973,-55.39514000
0.22583008,-55.38402000
0.22644043,-53.01411000
0.22705078,-54.51395000
0.22766113,-58.46329000
0.22827148,-68.66784000
0.22888184,-62.06484000
0.22949219,-57.47291000
0.23010254,-55.76781000
0.23071289,-60.63583000
0.23132324,-65.40968000
0.23193359,-67.46278000
0.23254395,-57.22996000
0.23315430,-70.20195000
0.23376465,-63.39726000
0.23437500,-62.23145000
0.23498535,-71.91756000
0.23559570,-64.22294000
0.23620605,-67.38457000
0.23681641,-68.64935000
0.23742676,-59.77353000
0.23803711,-65.67735000
0.23864746,-63.27134000
0.23925781,-56.19361000
0.23986816,-66.39777000
0.24047852,-60.70765000
0.24108887,-59.13046000
0.24169922,-57.99675000
0.24230957,-53.19513000
0.24291992,-57.93744000
0.24353027,-61.85936000
0.24414063,-59.89013000
0.24475098,-64.78200000
0.24536133,-62.50731000
0.24597168,-54.83990000
0.24658203,-61.24891000
0.24719238,-56.07110000
0.24780273,-56.45089000
0.24841309,-68.59805000
0.24902344,-57.47271000
0.24963379,-53.13904000
0.25024414,-55.23388000
0.25085449,-61.50520000
0.25146484,-59.42722000
0.25207520,-59.01327000
0.25268555,-57.28253000
0.25329590,-65.56718000
0.25390625,-65.98061000
0.25451660,-67.56178000
0.25512695,-72.20496000
0.25573730,-55.05782000
0.25634766,-55.54514000
0.25695801,-66.29609000
0.25756836,-66.44391000
0.25817871,-58.87245000
0.25878906,-68.37946000
0.25939941,-78.66859000
0.26000977,-60.51817000
0.26062012,-58.30870000
0.26123047,-57.60141000
0.26184082,-58.48923000
0.26245117,-60.44751000
0.26306152,-55.14490000
0.26367188,-53.06226000
0.26428223,-52.09101000
0.26489258,-55.77045000
0.26550293,-57.95317000
0.26611328,-60.76725000
0.26672363,-67.38718000
0.26733398,-66.15049000
0.26794434,-72.74659000
0.26855469,-59.46809000
0.26916504,-56.75120000
0.26977539,-58.11058000
0.27038574,-58.62670000
0.27099609,-65.02063000
0.27160645,-62.59182000
0.27221680,-76.77512000
0.27282715,-63.64841000
0.27343750,-69.34403000
0.27404785,-61.51806000
0.27465820,-64.14101000
0.27526855,-59.80611000
0.27587891,-60.59230000
0.27648926,-57.77813000
0.27709961,-57.39789000
0.27770996,-58.94083000
0.27832031,-58.78999000
0.27893066,-63.23103000
0.27954102,-65.10248000
0.28015137,-66.58627000
0.28076172,-58.20354000
0.28137207,-55.19812000
0.28198242,-75.61333000
0.28259277,-61.41819000
0.28320313,-58.87691000
0.28381348,-59.64722000
0.28442383,-67.89487000
0.28503418,-61.71201000
0.28564453,-73.03069000
0.28625488,-57.09871000
0.28686523,-60.22889000
