Frequency,Channel A
(kHz),(dBV)

0.00000000,-52.52817000
0.00061035,-45.75773000
0.00122070,-42.61067000
0.00183105,-46.48023000
0.00244141,-39.33335000
0.00305176,-58.16127000
0.00366211,-38.49339000
0.00427246,-40.59708000
0.00488281,-44.59126000
0.00549316,-55.25694000
0.00610352,-45.44141000
0.00671387,-39.65007000
0.00732422,-41.83857000
0.00793457,-43.56419000
0.00854492,-47.47446000
0.00915527,-39.95786000
0.00976563,-39.35774000
0.01037598,-54.82333000
0.01098633,-38.12145000
0.01159668,-43.46490000
0.01220703,-37.64321000
0.01281738,-36.30796000
0.01342773,-29.31299000
0.01403809,-31.29507000
0.01464844,-38.14817000
0.01525879,-40.06512000
0.01586914,-47.22020000
0.01647949,-45.23415000
0.01708984,-37.59287000
0.01770020,-33.48392000
0.01831055,-41.06049000
0.01892090,-46.18717000
0.01953125,-43.39091000
0.02014160,-46.07835000
0.02075195,-41.26151000
0.02136230,-38.84763000
0.02197266,-40.34063000
0.02258301,-41.16424000
0.02319336,-35.76886000
0.02380371,-37.64907000
0.02441406,-40.00563000
0.02502441,-41.49505000
0.02563477,-41.83863000
0.02624512,-41.18363000
0.02685547,-42.04770000
0.02746582,-38.14349000
0.02807617,-34.27480000
0.02868652,-41.46608000
0.02929688,-37.39337000
0.02990723,-41.72866000
0.03051758,-43.15645000
0.03112793,-40.03709000
0.03173828,-46.98056000
0.03234863,-45.35287000
0.03295898,-45.66094000
0.03356934,-40.74459000
0.03417969,-70.85410000
0.03479004,-42.96064000
0.03540039,-44.52446000
0.03601074,-39.82282000
0.03662109,-36.32844000
0.03723145,-35.87275000
0.03784180,-38.45035000
0.03845215,-43.38396000
0.03906250,-40.15595000
0.03967285,-43.18193000
0.04028320,-43.12528000
0.04089355,-45.98448000
0.04150391,-49.67938000
0.04211426,-45.11183000
0.04272461,-46.28900000
0.04333496,-44.33003000
0.04394531,-43.11249000
0.04455566,-42.27133000
0.04516602,-56.12097000
0.04577637,-46.50823000
0.04638672,-45.15765000
0.04699707,-54.89187000
0.04760742,-52.20457000
0.04821777,-49.44803000
0.04882813,-47.05080000
0.04943848,-47.27105000
0.05004883,-43.51001000
0.05065918,-45.51260000
0.05126953,-40.51504000
0.05187988,-42.03330000
0.05249023,-43.49593000
0.05310059,-47.49902000
0.05371094,-56.13992000
0.05432129,-52.44885000
0.05493164,-49.10418000
0.05554199,-49.10000000
0.05615234,-54.21479000
0.05676270,-51.40956000
0.05737305,-53.45284000
0.05798340,-45.03843000
0.05859375,-41.56972000
0.05920410,-40.16705000
0.05981445,-43.39754000
0.06042480,-51.26321000
0.06103516,-53.26821000
0.06164551,-48.51449000
0.06225586,-56.83476000
0.06286621,-51.24672000
0.06347656,-48.31667000
0.06408691,-47.38474000
0.06469727,-48.27987000
0.06530762,-44.70328000
0.06591797,-50.56496000
0.06652832,-44.32157000
0.06713867,-53.77587000
0.06774902,-50.78835000
0.06835938,-49.67859000
0.06896973,-47.93694000
0.06958008,-44.80566000
0.07019043,-43.07525000
0.07080078,-53.34525000
0.07141113,-46.49059000
0.07202148,-47.76759000
0.07263184,-56.05928000
0.07324219,-49.84729000
0.07385254,-51.01555000
0.07446289,-51.51248000
0.07507324,-51.96807000
0.07568359,-44.74767000
0.07629395,-44.59998000
0.07690430,-48.04172000
0.07751465,-47.74847000
0.07812500,-47.04907000
0.07873535,-46.07051000
0.07934570,-68.09216000
0.07995605,-49.72864000
0.08056641,-58.69849000
0.08117676,-57.16994000
0.08178711,-55.04235000
0.08239746,-61.77351000
0.08300781,-57.79556000
0.08361816,-57.49073000
0.08422852,-50.80689000
0.08483887,-49.48354000
0.08544922,-46.69489000
0.08605957,-47.78316000
0.08666992,-58.05413000
0.08728027,-49.91623000
0.08789063,-54.59281000
0.08850098,-54.27317000
0.08911133,-50.04586000
0.08972168,-52.34174000
0.09033203,-44.26809000
0.09094238,-46.91520000
0.09155273,-46.76996000
0.09216309,-71.52749000
0.09277344,-49.06273000
0.09338379,-43.51643000
0.09399414,-51.67820000
0.09460449,-45.92922000
0.09521484,-42.67734000
0.09582520,-43.39727000
0.09643555,-49.93467000
0.09704590,-63.79942000
0.09765625,-58.06047000
0.09826660,-51.98144000
0.09887695,-59.99727000
0.09948730,-46.35176000
0.10009766,-43.42283000
0.10070801,-49.72439000
0.10131836,-65.52654000
0.10192871,-55.53646000
0.10253906,-46.41937000
0.10314941,-47.70512000
0.10375977,-53.25095000
0.10437012,-48.06190000
0.10498047,-51.07611000
0.10559082,-60.81420000
0.10620117,-52.34864000
0.10681152,-52.50881000
0.10742188,-48.35230000
0.10803223,-48.63047000
0.10864258,-60.35455000
0.10925293,-52.63656000
0.10986328,-66.96015000
0.11047363,-54.35450000
0.11108398,-51.84579000
0.11169434,-51.80275000
0.11230469,-57.80005000
0.11291504,-47.45161000
0.11352539,-50.31159000
0.11413574,-63.90449000
0.11474609,-52.88329000
0.11535645,-51.77768000
0.11596680,-52.32462000
0.11657715,-60.66428000
0.11718750,-57.76457000
0.11779785,-49.24904000
0.11840820,-63.66996000
0.11901855,-67.93301000
0.11962891,-52.64458000
0.12023926,-50.76305000
0.12084961,-53.64507000
0.12145996,-56.17238000
0.12207031,-54.55839000
0.12268066,-60.82647000
0.12329102,-53.51636000
0.12390137,-51.22039000
0.12451172,-60.64239000
0.12512207,-55.31926000
0.12573242,-56.46622000
0.12634277,-57.44654000
0.12695313,-64.21181000
0.12756348,-76.09680000
0.12817383,-56.19075000
0.12878418,-55.49167000
0.12939453,-57.23523000
0.13000488,-58.27253000
0.13061523,-66.97185000
0.13122559,-61.68722000
0.13183594,-65.55911000
0.13244629,-54.04474000
0.13305664,-53.55293000
0.13366699,-56.25508000
0.13427734,-50.61652000
0.13488770,-63.65884000
0.13549805,-54.41162000
0.13610840,-52.94493000
0.13671875,-50.89569000
0.13732910,-54.09465000
0.13793945,-58.44154000
0.13854980,-58.56696000
0.13916016,-67.45013000
0.13977051,-53.54382000
0.14038086,-60.52773000
0.14099121,-55.42920000
0.14160156,-55.64069000
0.14221191,-56.89698000
0.14282227,-57.04487000
0.14343262,-56.48480000
0.14404297,-71.56316000
0.14465332,-49.82507000
0.14526367,-50.21873000
0.14587402,-59.82141000
0.14648438,-55.92629000
0.14709473,-55.69479000
0.14770508,-53.79217000
0.14831543,-62.74902000
0.14892578,-55.30361000
0.14953613,-57.49574000
0.15014648,-55.68244000
0.15075684,-65.94514000
0.15136719,-67.93945000
0.15197754,-53.62101000
0.15258789,-49.74147000
0.15319824,-62.05558000
0.15380859,-53.28583000
0.15441895,-50.05168000
0.15502930,-65.96582000
0.15563965,-50.33867000
0.15625000,-50.81577000
0.15686035,-54.65089000
0.15747070,-56.98746000
0.15808105,-64.46269000
0.15869141,-51.58081000
0.15930176,-52.93297000
0.15991211,-60.31979000
0.16052246,-50.62640000
0.16113281,-52.00917000
0.16174316,-56.58318000
0.16235352,-53.96139000
0.16296387,-55.59543000
0.16357422,-57.51235000
0.16418457,-58.70007000
0.16479492,-55.33627000
0.16540527,-53.48511000
0.16601563,-55.01183000
0.16662598,-57.84488000
0.16723633,-55.74258000
0.16784668,-55.21578000
0.16845703,-59.77110000
0.16906738,-53.05640000
0.16967773,-70.81625000
0.17028809,-52.11845000
0.17089844,-51.05290000
0.17150879,-65.83620000
0.17211914,-65.29294000
0.17272949,-54.05666000
0.17333984,-53.79796000
0.17395020,-56.27829000
0.17456055,-59.64352000
0.17517090,-58.28849000
0.17578125,-53.58840000
0.17639160,-53.32801000
0.17700195,-50.93159000
0.17761230,-55.79333000
0.17822266,-62.36920000
0.17883301,-74.68128000
0.17944336,-60.97059000
0.18005371,-60.88900000
0.18066406,-67.70940000
0.18127441,-57.67080000
0.18188477,-66.01524000
0.18249512,-54.55048000
0.18310547,-56.48174000
0.18371582,-59.34772000
0.18432617,-59.00317000
0.18493652,-61.11840000
0.18554688,-54.97380000
0.18615723,-58.49509000
0.18676758,-54.09421000
0.18737793,-54.69645000
0.18798828,-55.34641000
0.18859863,-59.54520000
0.18920898,-55.73660000
0.18981934,-58.31027000
0.19042969,-77.47023000
0.19104004,-55.39449000
0.19165039,-50.90591000
0.19226074,-49.15172000
0.19287109,-54.58899000
0.19348145,-58.20663000
0.19409180,-54.35688000
0.19470215,-55.25413000
0.19531250,-51.68106000
0.19592285,-53.95676000
0.19653320,-65.30267000
0.19714355,-70.52491000
0.19775391,-59.83526000
0.19836426,-53.72428000
0.19897461,-53.46874000
0.19958496,-57.26276000
0.20019531,-77.99668000
0.20080566,-62.88624000
0.20141602,-65.40150000
0.20202637,-60.87970000
0.20263672,-69.85637000
0.20324707,-62.74247000
0.20385742,-60.20164000
0.20446777,-64.24991000
0.20507813,-58.89922000
0.20568848,-54.59514000
0.20629883,-59.20255000
0.20690918,-60.98740000
0.20751953,-59.22738000
0.20812988,-57.88844000
0.20874023,-67.24965000
0.20935059,-62.79656000
0.20996094,-61.28880000
0.21057129,-62.00594000
0.21118164,-54.25437000
0.21179199,-50.50557000
0.21240234,-51.97540000
0.21301270,-56.70221000
0.21362305,-61.25762000
0.21423340,-52.55579000
0.21484375,-55.57865000
0.21545410,-65.20686000
0.21606445,-59.13197000
0.21667480,-56.56105000
0.21728516,-57.31521000
0.21789551,-53.55986000
0.21850586,-60.01725000
0.21911621,-61.82978000
0.21972656,-57.36850000
0.22033691,-53.73518000
0.22094727,-56.77227000
0.22155762,-56.97695000
0.22216797,-63.41233000
0.22277832,-72.43648000
0.22338867,-62.12209000
0.22399902,-59.74711000
0.22460938,-58.22977000
0.22521973,-56.71139000
0.22583008,-70.98983000
0.22644043,-71.52277000
0.22705078,-57.51373000
0.22766113,-56.59279000
0.22827148,-52.01985000
0.22888184,-52.76917000
0.22949219,-64.41712000
0.23010254,-63.56305000
0.23071289,-61.05474000
0.23132324,-60.45248000
0.23193359,-56.32349000
0.23254395,-54.40039000
0.23315430,-58.83680000
0.23376465,-59.38833000
0.23437500,-67.92162000
0.23498535,-62.95878000
0.23559570,-63.06940000
0.23620605,-61.49338000
0.23681641,-65.19486000
0.23742676,-66.76650000
0.23803711,-68.49496000
0.23864746,-57.37463000
0.23925781,-54.45098000
0.23986816,-58.88036000
0.24047852,-63.15204000
0.24108887,-64.76609000
0.24169922,-61.33450000
0.24230957,-56.11586000
0.24291992,-63.87706000
0.24353027,-65.25274000
0.24414063,-72.00375000
0.24475098,-60.45726000
0.24536133,-53.11655000
0.24597168,-54.20940000
0.24658203,-59.59378000
0.24719238,-69.81059000
0.24780273,-66.62123000
0.24841309,-54.68180000
0.24902344,-58.18985000
0.24963379,-59.08414000
0.25024414,-58.04058000
0.25085449,-65.45966000
0.25146484,-62.34640000
0.25207520,-58.20920000
0.25268555,-56.32463000
0.25329590,-55.84113000
0.25390625,-54.19489000
0.25451660,-67.48956000
0.25512695,-55.02776000
0.25573730,-54.77565000
0.25634766,-60.20863000
0.25695801,-59.25534000
0.25756836,-57.31266000
0.25817871,-56.69602000
0.25878906,-66.67304000
0.25939941,-57.70802000
0.26000977,-54.62640000
0.26062012,-55.84260000
0.26123047,-57.59812000
0.26184082,-55.64880000
0.26245117,-56.27798000
0.26306152,-60.16175000
0.26367188,-84.19437000
0.26428223,-64.82364000
0.26489258,-64.38560000
0.26550293,-55.27236000
0.26611328,-60.72134000
0.26672363,-68.84748000
0.26733398,-66.02261000
0.26794434,-59.30615000
0.26855469,-58.25480000
0.26916504,-61.27022000
0.26977539,-65.82025000
0.27038574,-57.04609000
0.27099609,-54.78707000
0.27160645,-62.36698000
0.27221680,-63.11011000
0.27282715,-61.86156000
0.27343750,-73.81752000
0.27404785,-65.04893000
0.27465820,-86.34326000
0.27526855,-65.74760000
0.27587891,-71.72102000
0.27648926,-58.01929000
0.27709961,-59.70457000
0.27770996,-56.46944000
0.27832031,-55.85009000
0.27893066,-60.49113000
0.27954102,-62.77782000
0.28015137,-60.76345000
0.28076172,-62.56829000
0.28137207,-63.68162000
0.28198242,-60.66695000
0.28259277,-60.83561000
0.28320313,-55.19176000
0.28381348,-65.46653000
0.28442383,-61.36327000
0.28503418,-56.37131000
0.28564453,-54.77935000
0.28625488,-59.82161000
0.28686523,-68.21036000
