Frequency,Channel A
(kHz),(dBV)

0.00000000,-70.39706000
0.00061035,-61.45415000
0.00122070,-59.20921000
0.00183105,-59.46675000
0.00244141,-67.96332000
0.00305176,-63.92551000
0.00366211,-59.36973000
0.00427246,-62.30797000
0.00488281,-65.45592000
0.00549316,-61.46729000
0.00610352,-63.71757000
0.00671387,-62.35754000
0.00732422,-64.92056000
0.00793457,-73.11326000
0.00854492,-64.18314000
0.00915527,-59.24003000
0.00976563,-64.74039000
0.01037598,-76.82458000
0.01098633,-68.95850000
0.01159668,-74.73792000
0.01220703,-72.66438000
0.01281738,-71.24193000
0.01342773,-68.33966000
0.01403809,-70.44823000
0.01464844,-64.83250000
0.01525879,-61.45834000
0.01586914,-60.22238000
0.01647949,-70.78544000
0.01708984,-65.74908000
0.01770020,-72.40434000
0.01831055,-66.16335000
0.01892090,-76.92883000
0.01953125,-66.79256000
0.02014160,-65.77087000
0.02075195,-70.35555000
0.02136230,-70.18275000
0.02197266,-72.15942000
0.02258301,-67.14333000
0.02319336,-69.60970000
0.02380371,-65.50525000
0.02441406,-64.02834000
0.02502441,-63.14663000
0.02563477,-66.86073000
0.02624512,-71.28642000
0.02685547,-69.45891000
0.02746582,-68.52591000
0.02807617,-69.60580000
0.02868652,-73.75965000
0.02929688,-67.97071000
0.02990723,-59.90776000
0.03051758,-60.97372000
0.03112793,-65.98127000
0.03173828,-67.99231000
0.03234863,-71.25647000
0.03295898,-65.81127000
0.03356934,-66.38814000
0.03417969,-64.77737000
0.03479004,-62.70338000
0.03540039,-67.63787000
0.03601074,-84.42094000
0.03662109,-71.45502000
0.03723145,-62.20668000
0.03784180,-59.16859000
0.03845215,-67.26899000
0.03906250,-71.86478000
0.03967285,-80.64400000
0.04028320,-60.58332000
0.04089355,-62.85954000
0.04150391,-76.09567000
0.04211426,-76.03316000
0.04272461,-71.89963000
0.04333496,-79.67880000
0.04394531,-98.28932000
0.04455566,-80.96249000
0.04516602,-79.91710000
0.04577637,-102.45170000
0.04638672,-68.56808000
0.04699707,-65.91884000
0.04760742,-63.54718000
0.04821777,-69.04305000
0.04882813,-63.13403000
0.04943848,-64.79262000
0.05004883,-83.91567000
0.05065918,-70.38914000
0.05126953,-70.31623000
0.05187988,-69.78427000
0.05249023,-64.48719000
0.05310059,-62.42924000
0.05371094,-63.22298000
0.05432129,-78.57594000
0.05493164,-68.39867000
0.05554199,-72.99813000
0.05615234,-72.43933000
0.05676270,-69.70511000
0.05737305,-77.72311000
0.05798340,-67.83057000
0.05859375,-65.55537000
0.05920410,-68.15079000
0.05981445,-82.46914000
0.06042480,-65.65418000
0.06103516,-63.73325000
0.06164551,-67.52747000
0.06225586,-66.89078000
0.06286621,-75.38394000
0.06347656,-68.77014000
0.06408691,-63.62672000
0.06469727,-69.29622000
0.06530762,-73.01163000
0.06591797,-68.90110000
0.06652832,-69.67623000
0.06713867,-72.39139000
0.06774902,-70.41752000
0.06835938,-73.47861000
0.06896973,-66.77277000
0.06958008,-67.40598000
0.07019043,-68.98710000
0.07080078,-65.87581000
0.07141113,-62.87009000
0.07202148,-80.61000000
0.07263184,-69.91449000
0.07324219,-84.63200000
0.07385254,-69.09202000
0.07446289,-66.13226000
0.07507324,-65.20339000
0.07568359,-67.53349000
0.07629395,-92.02407000
0.07690430,-77.45099000
0.07751465,-72.22932000
0.07812500,-71.02694000
0.07873535,-65.46156000
0.07934570,-63.57815000
0.07995605,-73.90761000
0.08056641,-80.87173000
0.08117676,-69.57360000
0.08178711,-65.43972000
0.08239746,-69.26881000
0.08300781,-69.53779000
0.08361816,-81.04645000
0.08422852,-68.68049000
0.08483887,-72.65601000
0.08544922,-83.50301000
0.08605957,-73.13673000
0.08666992,-71.89301000
0.08728027,-69.60088000
0.08789063,-86.57623000
0.08850098,-92.56007000
0.08911133,-77.56623000
0.08972168,-77.78670000
0.09033203,-68.54644000
0.09094238,-73.35899000
0.09155273,-86.57317000
0.09216309,-70.63322000
0.09277344,-67.28448000
0.09338379,-78.36731000
0.09399414,-80.62007000
0.09460449,-67.61188000
0.09521484,-70.25023000
0.09582520,-71.10692000
0.09643555,-71.07156000
0.09704590,-72.65552000
0.09765625,-75.78323000
0.09826660,-69.51724000
0.09887695,-70.47883000
0.09948730,-69.78742000
0.10009766,-69.12402000
0.10070801,-79.76361000
0.10131836,-69.31262000
0.10192871,-76.53108000
0.10253906,-69.23744000
0.10314941,-76.51978000
0.10375977,-70.90504000
0.10437012,-81.66093000
0.10498047,-70.50249000
0.10559082,-64.87321000
0.10620117,-66.25565000
0.10681152,-65.39198000
0.10742188,-67.80844000
0.10803223,-73.51637000
0.10864258,-75.60622000
0.10925293,-73.07410000
0.10986328,-77.24728000
0.11047363,-67.07448000
0.11108398,-65.76686000
0.11169434,-69.67665000
0.11230469,-72.65225000
0.11291504,-68.65521000
0.11352539,-69.58202000
0.11413574,-78.39378000
0.11474609,-79.91042000
0.11535645,-69.38575000
0.11596680,-80.42592000
0.11657715,-68.04637000
0.11718750,-71.20565000
0.11779785,-65.71259000
0.11840820,-66.82644000
0.11901855,-76.47720000
0.11962891,-66.96508000
0.12023926,-72.91455000
0.12084961,-70.23711000
0.12145996,-79.42850000
0.12207031,-81.04770000
0.12268066,-70.17264000
0.12329102,-75.40443000
0.12390137,-66.10765000
0.12451172,-67.93439000
0.12512207,-78.42919000
0.12573242,-74.57498000
0.12634277,-68.96806000
0.12695313,-79.17603000
0.12756348,-65.13986000
0.12817383,-68.29401000
0.12878418,-66.55923000
0.12939453,-68.36128000
0.13000488,-67.09647000
0.13061523,-69.25009000
0.13122559,-66.70421000
0.13183594,-68.29317000
0.13244629,-70.62563000
0.13305664,-76.06256000
0.13366699,-75.10866000
0.13427734,-75.24036000
0.13488770,-76.88832000
0.13549805,-71.31911000
0.13610840,-67.28555000
0.13671875,-66.44968000
0.13732910,-66.43570000
0.13793945,-70.13279000
0.13854980,-72.88120000
0.13916016,-72.79703000
0.13977051,-82.64534000
0.14038086,-74.79002000
0.14099121,-68.89806000
0.14160156,-74.53626000
0.14221191,-80.06103000
0.14282227,-77.12470000
0.14343262,-66.84869000
0.14404297,-67.12936000
0.14465332,-70.43691000
0.14526367,-77.74546000
0.14587402,-72.83218000
0.14648438,-68.86974000
0.14709473,-68.53066000
0.14770508,-76.34981000
0.14831543,-67.92297000
0.14892578,-69.26075000
0.14953613,-75.43426000
0.15014648,-90.56115000
0.15075684,-71.89635000
0.15136719,-68.42627000
0.15197754,-76.24104000
0.15258789,-72.75903000
0.15319824,-67.80864000
0.15380859,-67.16866000
0.15441895,-72.01609000
0.15502930,-76.06754000
0.15563965,-81.87400000
0.15625000,-75.92902000
0.15686035,-69.49570000
0.15747070,-65.98365000
0.15808105,-70.71181000
0.15869141,-68.99591000
0.15930176,-70.86812000
0.15991211,-66.95363000
0.16052246,-72.35236000
0.16113281,-71.52864000
0.16174316,-73.74107000
0.16235352,-74.39668000
0.16296387,-71.17524000
0.16357422,-74.86826000
0.16418457,-69.95536000
0.16479492,-73.44797000
0.16540527,-73.37932000
0.16601563,-73.51488000
0.16662598,-70.76546000
0.16723633,-76.01198000
0.16784668,-86.60210000
0.16845703,-80.66423000
0.16906738,-82.27731000
0.16967773,-81.86759000
0.17028809,-77.79316000
0.17089844,-75.58717000
0.17150879,-82.79820000
0.17211914,-86.22089000
0.17272949,-73.19475000
0.17333984,-68.52203000
0.17395020,-73.20570000
0.17456055,-72.61977000
0.17517090,-92.45052000
0.17578125,-67.74605000
0.17639160,-79.64120000
0.17700195,-73.08543000
0.17761230,-74.08563000
0.17822266,-73.44976000
0.17883301,-79.55619000
0.17944336,-76.26134000
0.18005371,-70.67058000
0.18066406,-71.26390000
0.18127441,-67.33781000
0.18188477,-64.24910000
0.18249512,-65.81053000
0.18310547,-69.77164000
0.18371582,-72.75455000
0.18432617,-75.40878000
0.18493652,-73.61404000
0.18554688,-89.60252000
0.18615723,-87.66466000
0.18676758,-86.22446000
0.18737793,-76.71032000
0.18798828,-71.93928000
0.18859863,-71.60864000
0.18920898,-71.87787000
0.18981934,-75.79934000
0.19042969,-81.33133000
0.19104004,-88.94711000
0.19165039,-78.74246000
0.19226074,-73.07918000
0.19287109,-83.58194000
0.19348145,-80.24495000
0.19409180,-85.76262000
0.19470215,-85.09393000
0.19531250,-86.38983000
0.19592285,-70.61742000
0.19653320,-67.21082000
0.19714355,-70.10798000
0.19775391,-66.84673000
0.19836426,-68.99908000
0.19897461,-74.26917000
0.19958496,-83.21621000
0.20019531,-71.63361000
0.20080566,-77.88778000
0.20141602,-72.14320000
0.20202637,-79.19656000
0.20263672,-68.06788000
0.20324707,-76.12198000
0.20385742,-75.85811000
0.20446777,-74.19166000
0.20507813,-79.12553000
0.20568848,-75.31618000
0.20629883,-76.80157000
0.20690918,-75.84881000
0.20751953,-82.23334000
0.20812988,-85.72382000
0.20874023,-76.68436000
0.20935059,-72.88286000
0.20996094,-77.06071000
0.21057129,-72.78702000
0.21118164,-77.33117000
0.21179199,-75.08765000
0.21240234,-81.48608000
0.21301270,-76.64765000
0.21362305,-70.37225000
0.21423340,-71.08748000
0.21484375,-78.35637000
0.21545410,-73.79025000
0.21606445,-75.37840000
0.21667480,-71.79436000
0.21728516,-72.51666000
0.21789551,-80.82507000
0.21850586,-80.06164000
0.21911621,-76.43561000
0.21972656,-85.76286000
0.22033691,-70.08553000
0.22094727,-72.62863000
0.22155762,-79.14172000
0.22216797,-83.50914000
0.22277832,-74.57140000
0.22338867,-81.45179000
0.22399902,-68.22171000
0.22460938,-67.17315000
0.22521973,-79.43427000
0.22583008,-71.37306000
0.22644043,-69.92715000
0.22705078,-78.64394000
0.22766113,-71.66938000
0.22827148,-79.12553000
0.22888184,-82.03204000
0.22949219,-80.43645000
0.23010254,-89.75585000
0.23071289,-75.28546000
0.23132324,-76.25392000
0.23193359,-74.02148000
0.23254395,-79.96754000
0.23315430,-82.95961000
0.23376465,-81.79897000
0.23437500,-80.06470000
0.23498535,-76.63001000
0.23559570,-78.40590000
0.23620605,-74.70801000
0.23681641,-80.51011000
0.23742676,-75.55269000
0.23803711,-76.63301000
0.23864746,-73.76535000
0.23925781,-74.41855000
0.23986816,-74.55682000
0.24047852,-70.38640000
0.24108887,-72.78905000
0.24169922,-82.47057000
0.24230957,-77.95037000
0.24291992,-77.37450000
0.24353027,-89.57285000
0.24414063,-74.12536000
0.24475098,-77.23883000
0.24536133,-69.48341000
0.24597168,-77.52602000
0.24658203,-76.63629000
0.24719238,-73.53500000
0.24780273,-84.47261000
0.24841309,-72.07650000
0.24902344,-71.85297000
0.24963379,-77.89439000
0.25024414,-83.56071000
0.25085449,-74.36198000
0.25146484,-74.15310000
0.25207520,-79.01393000
0.25268555,-75.75536000
0.25329590,-75.65231000
0.25390625,-68.38868000
0.25451660,-68.51028000
0.25512695,-71.00859000
0.25573730,-76.56425000
0.25634766,-74.78635000
0.25695801,-74.67393000
0.25756836,-78.21766000
0.25817871,-83.33724000
0.25878906,-74.30489000
0.25939941,-71.69975000
0.26000977,-70.08502000
0.26062012,-71.72728000
0.26123047,-73.60551000
0.26184082,-80.05667000
0.26245117,-82.84624000
0.26306152,-75.84414000
0.26367188,-79.09138000
0.26428223,-91.01401000
0.26489258,-84.52959000
0.26550293,-76.84745000
0.26611328,-78.09785000
0.26672363,-77.83196000
0.26733398,-79.51741000
0.26794434,-77.07625000
0.26855469,-80.86544000
0.26916504,-72.19852000
0.26977539,-69.94316000
0.27038574,-80.70049000
0.27099609,-72.40697000
0.27160645,-70.13377000
0.27221680,-72.90707000
0.27282715,-77.53659000
0.27343750,-81.54681000
0.27404785,-83.79780000
0.27465820,-70.93381000
0.27526855,-74.64497000
0.27587891,-82.82130000
0.27648926,-77.91139000
0.27709961,-71.99570000
0.27770996,-75.26965000
0.27832031,-85.43380000
0.27893066,-72.83224000
0.27954102,-74.65385000
0.28015137,-82.85995000
0.28076172,-76.41526000
0.28137207,-74.42422000
0.28198242,-81.24937000
0.28259277,-77.17194000
0.28320313,-72.81426000
0.28381348,-73.40663000
0.28442383,-75.03580000
0.28503418,-81.30519000
0.28564453,-83.89146000
0.28625488,-75.45726000
0.28686523,-75.32086000
