Frequency,Channel A
(kHz),(dBV)

0.00000000,-75.90437000
0.00061035,-55.82130000
0.00122070,-59.02456000
0.00183105,-54.35246000
0.00244141,-52.49740000
0.00305176,-56.17566000
0.00366211,-58.22227000
0.00427246,-63.72328000
0.00488281,-58.99282000
0.00549316,-62.80824000
0.00610352,-66.02199000
0.00671387,-67.59282000
0.00732422,-65.62323000
0.00793457,-70.77781000
0.00854492,-61.13104000
0.00915527,-63.38612000
0.00976563,-72.83810000
0.01037598,-70.00915000
0.01098633,-70.89487000
0.01159668,-69.74429000
0.01220703,-65.02498000
0.01281738,-67.54631000
0.01342773,-69.75185000
0.01403809,-68.74353000
0.01464844,-67.82857000
0.01525879,-63.41957000
0.01586914,-68.17909000
0.01647949,-63.77109000
0.01708984,-60.72601000
0.01770020,-62.12950000
0.01831055,-62.21601000
0.01892090,-75.22512000
0.01953125,-69.73380000
0.02014160,-69.27180000
0.02075195,-63.94846000
0.02136230,-64.00150000
0.02197266,-69.98966000
0.02258301,-68.83109000
0.02319336,-72.94328000
0.02380371,-64.00363000
0.02441406,-64.44183000
0.02502441,-71.04268000
0.02563477,-69.67439000
0.02624512,-66.50862000
0.02685547,-66.48479000
0.02746582,-72.02103000
0.02807617,-70.74187000
0.02868652,-66.43452000
0.02929688,-70.69528000
0.02990723,-69.52403000
0.03051758,-67.96455000
0.03112793,-70.82806000
0.03173828,-70.27185000
0.03234863,-65.06573000
0.03295898,-60.33851000
0.03356934,-69.48862000
0.03417969,-58.16518000
0.03479004,-58.33494000
0.03540039,-66.93494000
0.03601074,-74.03854000
0.03662109,-66.68993000
0.03723145,-68.17191000
0.03784180,-73.73673000
0.03845215,-67.70232000
0.03906250,-72.18124000
0.03967285,-67.07159000
0.04028320,-61.13172000
0.04089355,-63.23225000
0.04150391,-67.71714000
0.04211426,-69.73219000
0.04272461,-67.49424000
0.04333496,-73.75420000
0.04394531,-72.75778000
0.04455566,-78.02000000
0.04516602,-73.70975000
0.04577637,-72.24638000
0.04638672,-70.87684000
0.04699707,-63.72377000
0.04760742,-66.51409000
0.04821777,-65.12552000
0.04882813,-64.67309000
0.04943848,-69.07401000
0.05004883,-74.99689000
0.05065918,-63.67686000
0.05126953,-65.80904000
0.05187988,-70.88525000
0.05249023,-79.95963000
0.05310059,-72.59719000
0.05371094,-71.13625000
0.05432129,-68.76762000
0.05493164,-72.43246000
0.05554199,-67.50238000
0.05615234,-82.62651000
0.05676270,-67.81668000
0.05737305,-74.11355000
0.05798340,-71.03556000
0.05859375,-74.11309000
0.05920410,-85.98133000
0.05981445,-70.42122000
0.06042480,-70.34731000
0.06103516,-78.39986000
0.06164551,-68.44992000
0.06225586,-65.82953000
0.06286621,-74.31172000
0.06347656,-65.86509000
0.06408691,-74.82764000
0.06469727,-68.08945000
0.06530762,-67.81825000
0.06591797,-70.48408000
0.06652832,-74.79348000
0.06713867,-67.93080000
0.06774902,-67.89414000
0.06835938,-66.58614000
0.06896973,-63.42844000
0.06958008,-67.14028000
0.07019043,-95.70802000
0.07080078,-76.13908000
0.07141113,-74.72272000
0.07202148,-69.84453000
0.07263184,-63.24207000
0.07324219,-65.83009000
0.07385254,-63.57269000
0.07446289,-72.30399000
0.07507324,-74.71563000
0.07568359,-70.99303000
0.07629395,-74.44821000
0.07690430,-74.97558000
0.07751465,-82.78009000
0.07812500,-83.10075000
0.07873535,-67.56087000
0.07934570,-65.79633000
0.07995605,-75.62724000
0.08056641,-74.52129000
0.08117676,-63.75190000
0.08178711,-64.52810000
0.08239746,-73.99857000
0.08300781,-69.76662000
0.08361816,-66.54739000
0.08422852,-69.82099000
0.08483887,-79.85992000
0.08544922,-70.64130000
0.08605957,-65.98407000
0.08666992,-70.59467000
0.08728027,-75.75150000
0.08789063,-76.17052000
0.08850098,-82.76902000
0.08911133,-79.00945000
0.08972168,-72.80355000
0.09033203,-69.31691000
0.09094238,-67.81456000
0.09155273,-73.44680000
0.09216309,-94.22766000
0.09277344,-74.28975000
0.09338379,-73.26691000
0.09399414,-75.55673000
0.09460449,-75.27994000
0.09521484,-76.53857000
0.09582520,-67.49699000
0.09643555,-66.05359000
0.09704590,-80.40470000
0.09765625,-69.81284000
0.09826660,-74.82499000
0.09887695,-73.12728000
0.09948730,-76.70368000
0.10009766,-72.73622000
0.10070801,-68.64976000
0.10131836,-75.75835000
0.10192871,-73.87884000
0.10253906,-65.30955000
0.10314941,-74.52033000
0.10375977,-67.78000000
0.10437012,-71.88749000
0.10498047,-77.61185000
0.10559082,-90.97030000
0.10620117,-74.15918000
0.10681152,-66.96767000
0.10742188,-66.46069000
0.10803223,-67.16676000
0.10864258,-70.74043000
0.10925293,-66.40324000
0.10986328,-65.69908000
0.11047363,-69.37615000
0.11108398,-67.65096000
0.11169434,-65.65659000
0.11230469,-72.84495000
0.11291504,-76.47668000
0.11352539,-67.49938000
0.11413574,-68.49649000
0.11474609,-67.16580000
0.11535645,-70.29532000
0.11596680,-72.03843000
0.11657715,-68.29111000
0.11718750,-72.11224000
0.11779785,-79.56900000
0.11840820,-78.41045000
0.11901855,-74.63197000
0.11962891,-87.43660000
0.12023926,-82.29808000
0.12084961,-81.74826000
0.12145996,-76.37071000
0.12207031,-79.17656000
0.12268066,-96.12527000
0.12329102,-70.21688000
0.12390137,-73.77326000
0.12451172,-75.22880000
0.12512207,-73.96730000
0.12573242,-83.89955000
0.12634277,-75.12511000
0.12695313,-75.63757000
0.12756348,-78.09033000
0.12817383,-73.10738000
0.12878418,-66.92726000
0.12939453,-83.52917000
0.13000488,-68.98358000
0.13061523,-68.98742000
0.13122559,-69.27840000
0.13183594,-66.66369000
0.13244629,-72.68395000
0.13305664,-74.71010000
0.13366699,-74.94654000
0.13427734,-70.38098000
0.13488770,-68.89461000
0.13549805,-70.21712000
0.13610840,-70.96221000
0.13671875,-89.18683000
0.13732910,-67.90865000
0.13793945,-66.74110000
0.13854980,-66.96179000
0.13916016,-66.23949000
0.13977051,-69.20435000
0.14038086,-72.02106000
0.14099121,-70.24886000
0.14160156,-72.73070000
0.14221191,-68.30750000
0.14282227,-68.67387000
0.14343262,-67.87833000
0.14404297,-65.76862000
0.14465332,-66.82016000
0.14526367,-75.08562000
0.14587402,-72.77098000
0.14648438,-70.32623000
0.14709473,-69.29055000
0.14770508,-78.27611000
0.14831543,-73.13082000
0.14892578,-69.83737000
0.14953613,-68.05695000
0.15014648,-68.05590000
0.15075684,-82.46079000
0.15136719,-71.16277000
0.15197754,-90.94353000
0.15258789,-75.10956000
0.15319824,-73.96806000
0.15380859,-80.32645000
0.15441895,-70.51128000
0.15502930,-68.75879000
0.15563965,-74.79300000
0.15625000,-105.48940000
0.15686035,-91.83597000
0.15747070,-91.69925000
0.15808105,-76.97343000
0.15869141,-71.14350000
0.15930176,-73.27824000
0.15991211,-77.92924000
0.16052246,-76.82547000
0.16113281,-76.70096000
0.16174316,-76.37166000
0.16235352,-72.31793000
0.16296387,-80.28178000
0.16357422,-78.88699000
0.16418457,-76.11445000
0.16479492,-81.48434000
0.16540527,-73.43111000
0.16601563,-70.90784000
0.16662598,-71.35027000
0.16723633,-74.53204000
0.16784668,-77.87404000
0.16845703,-73.07576000
0.16906738,-69.96381000
0.16967773,-78.09691000
0.17028809,-82.24242000
0.17089844,-76.88342000
0.17150879,-79.60281000
0.17211914,-75.64627000
0.17272949,-72.87833000
0.17333984,-81.37666000
0.17395020,-78.46500000
0.17456055,-68.24731000
0.17517090,-69.68932000
0.17578125,-74.76573000
0.17639160,-81.19394000
0.17700195,-79.07807000
0.17761230,-74.50411000
0.17822266,-80.37610000
0.17883301,-71.38288000
0.17944336,-69.01707000
0.18005371,-70.68135000
0.18066406,-77.18078000
0.18127441,-72.37376000
0.18188477,-83.06062000
0.18249512,-70.02171000
0.18310547,-74.94235000
0.18371582,-72.51920000
0.18432617,-69.79363000
0.18493652,-73.39575000
0.18554688,-82.91452000
0.18615723,-75.38916000
0.18676758,-76.80507000
0.18737793,-77.34642000
0.18798828,-75.79274000
0.18859863,-74.51631000
0.18920898,-71.69624000
0.18981934,-80.15675000
0.19042969,-73.83536000
0.19104004,-70.75833000
0.19165039,-74.45419000
0.19226074,-84.34106000
0.19287109,-73.28446000
0.19348145,-71.30208000
0.19409180,-69.94587000
0.19470215,-70.97636000
0.19531250,-79.42712000
0.19592285,-78.68821000
0.19653320,-80.33733000
0.19714355,-74.20499000
0.19775391,-67.33069000
0.19836426,-67.87919000
0.19897461,-69.67330000
0.19958496,-71.67039000
0.20019531,-80.01535000
0.20080566,-73.22455000
0.20141602,-79.04374000
0.20202637,-72.21007000
0.20263672,-73.69275000
0.20324707,-74.03720000
0.20385742,-70.31146000
0.20446777,-66.12952000
0.20507813,-69.03703000
0.20568848,-73.78902000
0.20629883,-68.73576000
0.20690918,-75.47057000
0.20751953,-83.33252000
0.20812988,-75.96295000
0.20874023,-78.39001000
0.20935059,-94.14158000
0.20996094,-73.83282000
0.21057129,-75.62394000
0.21118164,-72.85880000
0.21179199,-68.27116000
0.21240234,-74.83009000
0.21301270,-78.64443000
0.21362305,-70.66337000
0.21423340,-71.51434000
0.21484375,-77.68407000
0.21545410,-75.60039000
0.21606445,-74.12804000
0.21667480,-73.50854000
0.21728516,-79.84388000
0.21789551,-73.37770000
0.21850586,-73.29461000
0.21911621,-84.27525000
0.21972656,-78.61250000
0.22033691,-90.97354000
0.22094727,-83.62416000
0.22155762,-71.85161000
0.22216797,-79.78460000
0.22277832,-70.67396000
0.22338867,-72.71468000
0.22399902,-86.28389000
0.22460938,-72.42220000
0.22521973,-70.85049000
0.22583008,-84.20845000
0.22644043,-78.09917000
0.22705078,-72.48612000
0.22766113,-82.51186000
0.22827148,-83.79035000
0.22888184,-84.04876000
0.22949219,-80.14413000
0.23010254,-86.99844000
0.23071289,-77.67081000
0.23132324,-87.00891000
0.23193359,-71.26309000
0.23254395,-70.37856000
0.23315430,-74.09684000
0.23376465,-71.73026000
0.23437500,-73.94987000
0.23498535,-84.39383000
0.23559570,-74.13741000
0.23620605,-73.12064000
0.23681641,-72.06012000
0.23742676,-68.79339000
0.23803711,-69.90607000
0.23864746,-76.63470000
0.23925781,-75.98163000
0.23986816,-70.24331000
0.24047852,-79.15990000
0.24108887,-76.23687000
0.24169922,-73.99215000
0.24230957,-75.09051000
0.24291992,-77.16809000
0.24353027,-74.56760000
0.24414063,-68.97720000
0.24475098,-77.75606000
0.24536133,-73.72567000
0.24597168,-79.44830000
0.24658203,-73.84668000
0.24719238,-68.21486000
0.24780273,-69.90321000
0.24841309,-69.91705000
0.24902344,-71.94516000
0.24963379,-73.21346000
0.25024414,-80.72813000
0.25085449,-80.57166000
0.25146484,-80.50935000
0.25207520,-78.72034000
0.25268555,-74.46354000
0.25329590,-74.17007000
0.25390625,-71.39435000
0.25451660,-71.27897000
0.25512695,-75.83342000
0.25573730,-79.21658000
0.25634766,-76.61349000
0.25695801,-79.59633000
0.25756836,-70.24843000
0.25817871,-70.47454000
0.25878906,-72.29511000
0.25939941,-87.70250000
0.26000977,-77.61488000
0.26062012,-72.76606000
0.26123047,-70.55188000
0.26184082,-80.67649000
0.26245117,-77.61651000
0.26306152,-72.73131000
0.26367188,-74.96209000
0.26428223,-71.68447000
0.26489258,-70.50107000
0.26550293,-73.17780000
0.26611328,-87.47124000
0.26672363,-71.18423000
0.26733398,-74.30391000
0.26794434,-76.07902000
0.26855469,-75.81405000
0.26916504,-73.55357000
0.26977539,-70.25356000
0.27038574,-75.32325000
0.27099609,-81.41008000
0.27160645,-101.52970000
0.27221680,-84.25151000
0.27282715,-76.34683000
0.27343750,-79.59609000
0.27404785,-84.41121000
0.27465820,-73.50360000
0.27526855,-76.96889000
0.27587891,-74.44061000
0.27648926,-77.51959000
0.27709961,-74.31156000
0.27770996,-74.29027000
0.27832031,-78.31655000
0.27893066,-87.08672000
0.27954102,-75.16139000
0.28015137,-75.63923000
0.28076172,-76.24148000
0.28137207,-83.97849000
0.28198242,-74.40405000
0.28259277,-70.35046000
0.28320313,-73.91354000
0.28381348,-75.63156000
0.28442383,-77.24841000
0.28503418,-78.29653000
0.28564453,-76.70333000
0.28625488,-85.41343000
0.28686523,-76.39334000
