Frequency,Channel A
(kHz),(dBV)

0.00000000,-77.54152000
0.00061035,-67.23766000
0.00122070,-62.44627000
0.00183105,-65.82079000
0.00244141,-66.50861000
0.00305176,-61.74770000
0.00366211,-65.00470000
0.00427246,-74.34604000
0.00488281,-64.26981000
0.00549316,-68.51069000
0.00610352,-65.44821000
0.00671387,-72.00305000
0.00732422,-70.24286000
0.00793457,-80.09694000
0.00854492,-70.83368000
0.00915527,-64.79585000
0.00976563,-63.45380000
0.01037598,-64.98596000
0.01098633,-80.30224000
0.01159668,-72.33403000
0.01220703,-66.43402000
0.01281738,-74.45835000
0.01342773,-82.13615000
0.01403809,-65.72732000
0.01464844,-64.25485000
0.01525879,-68.61340000
0.01586914,-76.36419000
0.01647949,-75.36089000
0.01708984,-71.60734000
0.01770020,-73.13902000
0.01831055,-68.20547000
0.01892090,-69.47721000
0.01953125,-68.37512000
0.02014160,-64.42512000
0.02075195,-64.36942000
0.02136230,-68.77240000
0.02197266,-64.82434000
0.02258301,-63.86654000
0.02319336,-67.38685000
0.02380371,-66.34655000
0.02441406,-64.40119000
0.02502441,-69.20450000
0.02563477,-76.35602000
0.02624512,-77.58628000
0.02685547,-68.98736000
0.02746582,-65.26323000
0.02807617,-69.11903000
0.02868652,-86.89970000
0.02929688,-65.97846000
0.02990723,-65.02084000
0.03051758,-66.49342000
0.03112793,-66.89668000
0.03173828,-70.27653000
0.03234863,-68.24251000
0.03295898,-65.41383000
0.03356934,-67.72267000
0.03417969,-71.60927000
0.03479004,-76.53926000
0.03540039,-70.67455000
0.03601074,-71.28110000
0.03662109,-69.72439000
0.03723145,-68.06233000
0.03784180,-64.74252000
0.03845215,-72.15333000
0.03906250,-68.71209000
0.03967285,-74.08593000
0.04028320,-74.21027000
0.04089355,-67.84254000
0.04150391,-66.70502000
0.04211426,-70.60375000
0.04272461,-66.38818000
0.04333496,-64.59587000
0.04394531,-68.93481000
0.04455566,-69.22810000
0.04516602,-73.23180000
0.04577637,-69.21806000
0.04638672,-68.38506000
0.04699707,-73.58407000
0.04760742,-69.18451000
0.04821777,-84.81231000
0.04882813,-75.49216000
0.04943848,-68.31580000
0.05004883,-65.54353000
0.05065918,-67.95172000
0.05126953,-65.98031000
0.05187988,-65.46829000
0.05249023,-64.56288000
0.05310059,-68.90646000
0.05371094,-69.92928000
0.05432129,-64.63475000
0.05493164,-67.54658000
0.05554199,-81.82259000
0.05615234,-72.44231000
0.05676270,-70.21452000
0.05737305,-64.63979000
0.05798340,-73.55426000
0.05859375,-64.12132000
0.05920410,-63.19017000
0.05981445,-68.08953000
0.06042480,-77.37044000
0.06103516,-78.29324000
0.06164551,-75.96941000
0.06225586,-63.77026000
0.06286621,-64.45678000
0.06347656,-68.26591000
0.06408691,-65.15680000
0.06469727,-70.21720000
0.06530762,-64.96845000
0.06591797,-63.17633000
0.06652832,-80.43584000
0.06713867,-65.30208000
0.06774902,-64.56747000
0.06835938,-69.70555000
0.06896973,-74.61555000
0.06958008,-76.52644000
0.07019043,-70.78798000
0.07080078,-65.87504000
0.07141113,-63.39157000
0.07202148,-66.65069000
0.07263184,-72.08663000
0.07324219,-64.33263000
0.07385254,-66.36166000
0.07446289,-71.71770000
0.07507324,-65.10995000
0.07568359,-85.26867000
0.07629395,-70.05562000
0.07690430,-65.37055000
0.07751465,-66.15170000
0.07812500,-81.13017000
0.07873535,-67.75988000
0.07934570,-71.49632000
0.07995605,-71.70842000
0.08056641,-71.34112000
0.08117676,-75.51635000
0.08178711,-76.78432000
0.08239746,-72.89737000
0.08300781,-74.96012000
0.08361816,-70.92068000
0.08422852,-64.64429000
0.08483887,-70.83119000
0.08544922,-70.16336000
0.08605957,-62.53577000
0.08666992,-67.26622000
0.08728027,-68.85001000
0.08789063,-71.39163000
0.08850098,-72.62569000
0.08911133,-70.27131000
0.08972168,-68.14008000
0.09033203,-74.58643000
0.09094238,-67.63338000
0.09155273,-68.44421000
0.09216309,-75.90083000
0.09277344,-87.05669000
0.09338379,-82.88675000
0.09399414,-76.14009000
0.09460449,-72.78792000
0.09521484,-72.19333000
0.09582520,-73.88389000
0.09643555,-68.76901000
0.09704590,-71.86781000
0.09765625,-66.81495000
0.09826660,-63.44221000
0.09887695,-65.42999000
0.09948730,-66.25967000
0.10009766,-64.95930000
0.10070801,-66.35049000
0.10131836,-68.57314000
0.10192871,-81.02945000
0.10253906,-76.82643000
0.10314941,-68.69437000
0.10375977,-71.40987000
0.10437012,-71.82008000
0.10498047,-69.18160000
0.10559082,-76.04234000
0.10620117,-72.89409000
0.10681152,-74.30885000
0.10742188,-70.85522000
0.10803223,-66.75246000
0.10864258,-62.46015000
0.10925293,-63.68368000
0.10986328,-68.00586000
0.11047363,-67.08109000
0.11108398,-75.64385000
0.11169434,-73.48399000
0.11230469,-73.49889000
0.11291504,-84.04876000
0.11352539,-81.25496000
0.11413574,-75.14771000
0.11474609,-71.97757000
0.11535645,-69.38441000
0.11596680,-72.83197000
0.11657715,-71.87671000
0.11718750,-77.55200000
0.11779785,-70.37182000
0.11840820,-65.66669000
0.11901855,-62.85175000
0.11962891,-66.46428000
0.12023926,-66.44588000
0.12084961,-69.21394000
0.12145996,-67.30802000
0.12207031,-62.96182000
0.12268066,-65.54413000
0.12329102,-62.25799000
0.12390137,-62.93038000
0.12451172,-106.92650000
0.12512207,-71.74582000
0.12573242,-67.09544000
0.12634277,-75.96255000
0.12695313,-75.41226000
0.12756348,-73.26010000
0.12817383,-71.05580000
0.12878418,-67.42458000
0.12939453,-77.77244000
0.13000488,-76.68302000
0.13061523,-75.29887000
0.13122559,-84.06375000
0.13183594,-70.35265000
0.13244629,-68.18697000
0.13305664,-69.43586000
0.13366699,-71.13478000
0.13427734,-86.39164000
0.13488770,-67.99401000
0.13549805,-72.08234000
0.13610840,-82.25097000
0.13671875,-76.28148000
0.13732910,-75.90916000
0.13793945,-68.81432000
0.13854980,-66.46836000
0.13916016,-69.37163000
0.13977051,-70.74876000
0.14038086,-72.61973000
0.14099121,-88.89671000
0.14160156,-74.31905000
0.14221191,-70.03490000
0.14282227,-75.48470000
0.14343262,-70.54562000
0.14404297,-70.41556000
0.14465332,-72.99608000
0.14526367,-72.23513000
0.14587402,-77.77560000
0.14648438,-72.28983000
0.14709473,-79.06123000
0.14770508,-69.97501000
0.14831543,-77.76389000
0.14892578,-69.09043000
0.14953613,-69.99564000
0.15014648,-78.72639000
0.15075684,-73.28380000
0.15136719,-72.25581000
0.15197754,-73.68052000
0.15258789,-67.59415000
0.15319824,-65.96733000
0.15380859,-70.76461000
0.15441895,-74.16855000
0.15502930,-79.50648000
0.15563965,-70.77679000
0.15625000,-68.28539000
0.15686035,-74.95332000
0.15747070,-85.00026000
0.15808105,-73.95349000
0.15869141,-75.21904000
0.15930176,-79.27586000
0.15991211,-76.84507000
0.16052246,-73.90178000
0.16113281,-78.65350000
0.16174316,-75.08908000
0.16235352,-73.03040000
0.16296387,-81.82210000
0.16357422,-90.65392000
0.16418457,-73.99422000
0.16479492,-94.22394000
0.16540527,-75.50488000
0.16601563,-70.11987000
0.16662598,-72.89285000
0.16723633,-87.56645000
0.16784668,-72.48657000
0.16845703,-69.05368000
0.16906738,-78.23437000
0.16967773,-78.36690000
0.17028809,-85.92717000
0.17089844,-70.47965000
0.17150879,-66.35758000
0.17211914,-67.50401000
0.17272949,-93.00648000
0.17333984,-71.09928000
0.17395020,-77.42942000
0.17456055,-77.54662000
0.17517090,-73.82346000
0.17578125,-72.76675000
0.17639160,-93.80853000
0.17700195,-73.34753000
0.17761230,-80.56817000
0.17822266,-84.84770000
0.17883301,-72.94257000
0.17944336,-68.58465000
0.18005371,-68.62626000
0.18066406,-81.12893000
0.18127441,-81.69552000
0.18188477,-74.72775000
0.18249512,-72.22918000
0.18310547,-73.21915000
0.18371582,-71.37447000
0.18432617,-83.26272000
0.18493652,-78.56107000
0.18554688,-84.54449000
0.18615723,-71.14106000
0.18676758,-73.15044000
0.18737793,-78.26025000
0.18798828,-68.42551000
0.18859863,-68.23808000
0.18920898,-76.45596000
0.18981934,-71.16334000
0.19042969,-70.48628000
0.19104004,-72.71741000
0.19165039,-68.59410000
0.19226074,-73.34420000
0.19287109,-86.90327000
0.19348145,-70.10854000
0.19409180,-66.63035000
0.19470215,-76.34296000
0.19531250,-75.62660000
0.19592285,-74.13152000
0.19653320,-77.86444000
0.19714355,-74.01345000
0.19775391,-69.26779000
0.19836426,-74.05445000
0.19897461,-85.46927000
0.19958496,-69.20813000
0.20019531,-66.63127000
0.20080566,-76.92168000
0.20141602,-74.24849000
0.20202637,-70.12125000
0.20263672,-72.07181000
0.20324707,-77.03805000
0.20385742,-89.56693000
0.20446777,-74.40508000
0.20507813,-78.33929000
0.20568848,-76.27157000
0.20629883,-76.06213000
0.20690918,-82.43758000
0.20751953,-74.61024000
0.20812988,-76.70860000
0.20874023,-74.49953000
0.20935059,-79.43883000
0.20996094,-77.37278000
0.21057129,-76.21843000
0.21118164,-71.94501000
0.21179199,-74.69493000
0.21240234,-70.66461000
0.21301270,-74.71671000
0.21362305,-72.62681000
0.21423340,-68.06433000
0.21484375,-71.82796000
0.21545410,-75.87828000
0.21606445,-77.96455000
0.21667480,-75.92027000
0.21728516,-72.54925000
0.21789551,-79.36759000
0.21850586,-85.46571000
0.21911621,-77.55065000
0.21972656,-77.24282000
0.22033691,-85.59380000
0.22094727,-76.47105000
0.22155762,-70.13363000
0.22216797,-70.38480000
0.22277832,-75.40253000
0.22338867,-71.46275000
0.22399902,-71.16338000
0.22460938,-78.12941000
0.22521973,-75.21806000
0.22583008,-75.14951000
0.22644043,-76.13710000
0.22705078,-78.72076000
0.22766113,-72.72475000
0.22827148,-77.38412000
0.22888184,-75.90580000
0.22949219,-78.69414000
0.23010254,-69.02220000
0.23071289,-72.99005000
0.23132324,-81.32931000
0.23193359,-75.65065000
0.23254395,-71.63945000
0.23315430,-73.13267000
0.23376465,-73.71763000
0.23437500,-90.04953000
0.23498535,-77.67416000
0.23559570,-81.91047000
0.23620605,-78.80393000
0.23681641,-74.55572000
0.23742676,-72.04907000
0.23803711,-78.98454000
0.23864746,-76.50452000
0.23925781,-75.85904000
0.23986816,-73.72121000
0.24047852,-73.35349000
0.24108887,-74.61133000
0.24169922,-81.75934000
0.24230957,-77.99512000
0.24291992,-70.46381000
0.24353027,-73.53049000
0.24414063,-80.25360000
0.24475098,-88.02314000
0.24536133,-73.87557000
0.24597168,-72.31223000
0.24658203,-74.43196000
0.24719238,-70.56218000
0.24780273,-71.38970000
0.24841309,-76.58501000
0.24902344,-78.53463000
0.24963379,-76.37272000
0.25024414,-75.90814000
0.25085449,-73.84258000
0.25146484,-76.56593000
0.25207520,-81.88173000
0.25268555,-79.88988000
0.25329590,-100.66000000
0.25390625,-74.30531000
0.25451660,-79.65363000
0.25512695,-74.60303000
0.25573730,-71.94113000
0.25634766,-76.66444000
0.25695801,-76.56534000
0.25756836,-81.12109000
0.25817871,-81.27206000
0.25878906,-76.28462000
0.25939941,-76.16408000
0.26000977,-69.97394000
0.26062012,-73.04757000
0.26123047,-73.22142000
0.26184082,-70.60054000
0.26245117,-69.87910000
0.26306152,-77.84254000
0.26367188,-83.92578000
0.26428223,-86.09169000
0.26489258,-87.35675000
0.26550293,-72.47000000
0.26611328,-69.14660000
0.26672363,-71.44266000
0.26733398,-76.15526000
0.26794434,-83.84998000
0.26855469,-86.20728000
0.26916504,-89.13156000
0.26977539,-76.06749000
0.27038574,-70.63669000
0.27099609,-82.74310000
0.27160645,-74.77255000
0.27221680,-71.54843000
0.27282715,-75.22902000
0.27343750,-80.58755000
0.27404785,-75.27422000
0.27465820,-76.33453000
0.27526855,-77.85880000
0.27587891,-76.64478000
0.27648926,-75.30956000
0.27709961,-70.80726000
0.27770996,-75.75841000
0.27832031,-100.56490000
0.27893066,-84.35024000
0.27954102,-91.20952000
0.28015137,-74.20427000
0.28076172,-69.69487000
0.28137207,-71.94753000
0.28198242,-78.31740000
0.28259277,-78.76054000
0.28320313,-82.71648000
0.28381348,-75.52075000
0.28442383,-80.61176000
0.28503418,-97.95364000
0.28564453,-90.00021000
0.28625488,-77.50829000
0.28686523,-81.23435000
