Frequency,Channel A
(kHz),(dBV)

0.00000000,-70.53893000
0.00061035,-57.91918000
0.00122070,-56.46120000
0.00183105,-54.57605000
0.00244141,-52.93135000
0.00305176,-53.28163000
0.00366211,-57.99034000
0.00427246,-65.06268000
0.00488281,-63.56141000
0.00549316,-53.08100000
0.00610352,-47.50649000
0.00671387,-52.85215000
0.00732422,-53.29094000
0.00793457,-50.50364000
0.00854492,-58.92994000
0.00915527,-58.90044000
0.00976563,-60.23830000
0.01037598,-54.41190000
0.01098633,-53.24051000
0.01159668,-56.32904000
0.01220703,-45.75578000
0.01281738,-44.35302000
0.01342773,-45.41090000
0.01403809,-52.23232000
0.01464844,-53.44163000
0.01525879,-59.91816000
0.01586914,-55.11211000
0.01647949,-51.29135000
0.01708984,-48.99994000
0.01770020,-53.00418000
0.01831055,-50.80948000
0.01892090,-48.77034000
0.01953125,-48.56084000
0.02014160,-67.72241000
0.02075195,-54.14558000
0.02136230,-51.20683000
0.02197266,-55.95740000
0.02258301,-47.63175000
0.02319336,-50.24742000
0.02380371,-55.99442000
0.02441406,-59.53266000
0.02502441,-56.50919000
0.02563477,-57.65986000
0.02624512,-55.52389000
0.02685547,-54.31116000
0.02746582,-52.02692000
0.02807617,-49.41349000
0.02868652,-51.21957000
0.02929688,-52.98027000
0.02990723,-54.13856000
0.03051758,-53.61607000
0.03112793,-53.60794000
0.03173828,-48.68569000
0.03234863,-51.84728000
0.03295898,-48.72728000
0.03356934,-53.35102000
0.03417969,-61.81747000
0.03479004,-58.06454000
0.03540039,-68.48192000
0.03601074,-59.28247000
0.03662109,-52.50362000
0.03723145,-52.05392000
0.03784180,-50.83379000
0.03845215,-59.04922000
0.03906250,-59.12853000
0.03967285,-54.30672000
0.04028320,-50.13414000
0.04089355,-55.28922000
0.04150391,-55.47678000
0.04211426,-51.56530000
0.04272461,-48.55566000
0.04333496,-53.86211000
0.04394531,-48.28760000
0.04455566,-48.32140000
0.04516602,-56.21492000
0.04577637,-61.50944000
0.04638672,-55.33685000
0.04699707,-50.51615000
0.04760742,-46.87223000
0.04821777,-51.30575000
0.04882813,-50.10293000
0.04943848,-48.24563000
0.05004883,-51.14937000
0.05065918,-48.63612000
0.05126953,-49.09131000
0.05187988,-53.59589000
0.05249023,-55.62755000
0.05310059,-66.57151000
0.05371094,-61.26373000
0.05432129,-55.68187000
0.05493164,-48.88839000
0.05554199,-46.24814000
0.05615234,-46.79647000
0.05676270,-47.05047000
0.05737305,-47.49614000
0.05798340,-62.80384000
0.05859375,-54.93724000
0.05920410,-50.44588000
0.05981445,-51.84563000
0.06042480,-50.77405000
0.06103516,-50.12306000
0.06164551,-57.08459000
0.06225586,-54.60274000
0.06286621,-52.61427000
0.06347656,-51.03580000
0.06408691,-56.62471000
0.06469727,-54.10321000
0.06530762,-56.94413000
0.06591797,-53.30120000
0.06652832,-54.98505000
0.06713867,-55.42045000
0.06774902,-55.45391000
0.06835938,-57.49740000
0.06896973,-54.10029000
0.06958008,-48.64870000
0.07019043,-57.17720000
0.07080078,-59.24283000
0.07141113,-54.18276000
0.07202148,-54.60852000
0.07263184,-65.58689000
0.07324219,-49.28157000
0.07385254,-51.97223000
0.07446289,-52.75435000
0.07507324,-55.80037000
0.07568359,-58.68595000
0.07629395,-55.84721000
0.07690430,-57.26523000
0.07751465,-61.52113000
0.07812500,-54.77776000
0.07873535,-61.02320000
0.07934570,-58.56526000
0.07995605,-54.53718000
0.08056641,-57.57858000
0.08117676,-51.66323000
0.08178711,-53.00532000
0.08239746,-59.53305000
0.08300781,-63.98924000
0.08361816,-50.36182000
0.08422852,-47.15565000
0.08483887,-51.88099000
0.08544922,-53.36672000
0.08605957,-54.40678000
0.08666992,-56.47503000
0.08728027,-64.12215000
0.08789063,-64.31300000
0.08850098,-61.46678000
0.08911133,-58.95695000
0.08972168,-62.84558000
0.09033203,-54.32936000
0.09094238,-60.83010000
0.09155273,-56.34075000
0.09216309,-56.30903000
0.09277344,-58.85809000
0.09338379,-54.73069000
0.09399414,-53.56657000
0.09460449,-57.26063000
0.09521484,-57.16682000
0.09582520,-53.89602000
0.09643555,-61.90931000
0.09704590,-56.25455000
0.09765625,-66.53238000
0.09826660,-64.30520000
0.09887695,-59.39611000
0.09948730,-52.26186000
0.10009766,-54.72840000
0.10070801,-64.30910000
0.10131836,-54.28749000
0.10192871,-54.81858000
0.10253906,-56.75507000
0.10314941,-51.70456000
0.10375977,-51.92100000
0.10437012,-50.92437000
0.10498047,-56.01849000
0.10559082,-68.70602000
0.10620117,-55.42108000
0.10681152,-59.26859000
0.10742188,-58.39270000
0.10803223,-51.70066000
0.10864258,-52.79703000
0.10925293,-62.42191000
0.10986328,-64.22638000
0.11047363,-62.61156000
0.11108398,-60.35592000
0.11169434,-65.96014000
0.11230469,-53.15361000
0.11291504,-57.42900000
0.11352539,-60.80376000
0.11413574,-58.79755000
0.11474609,-65.74432000
0.11535645,-60.52635000
0.11596680,-61.76154000
0.11657715,-56.99063000
0.11718750,-56.64848000
0.11779785,-62.77600000
0.11840820,-53.94709000
0.11901855,-54.36824000
0.11962891,-60.31039000
0.12023926,-62.23591000
0.12084961,-67.05923000
0.12145996,-78.54408000
0.12207031,-70.04551000
0.12268066,-64.86537000
0.12329102,-60.93260000
0.12390137,-68.81737000
0.12451172,-60.50379000
0.12512207,-59.68584000
0.12573242,-54.30641000
0.12634277,-60.17188000
0.12695313,-59.49480000
0.12756348,-60.33424000
0.12817383,-70.09428000
0.12878418,-55.72797000
0.12939453,-57.77375000
0.13000488,-61.91655000
0.13061523,-62.23452000
0.13122559,-55.43663000
0.13183594,-51.72471000
0.13244629,-53.16223000
0.13305664,-59.68792000
0.13366699,-58.03074000
0.13427734,-59.67849000
0.13488770,-65.59222000
0.13549805,-65.11585000
0.13610840,-63.48188000
0.13671875,-71.36180000
0.13732910,-56.42061000
0.13793945,-58.23631000
0.13854980,-53.95214000
0.13916016,-62.55051000
0.13977051,-78.38457000
0.14038086,-61.50564000
0.14099121,-57.47903000
0.14160156,-60.13993000
0.14221191,-69.74368000
0.14282227,-57.89861000
0.14343262,-56.24633000
0.14404297,-60.19012000
0.14465332,-54.18325000
0.14526367,-53.91920000
0.14587402,-54.55776000
0.14648438,-59.64951000
0.14709473,-66.62859000
0.14770508,-71.72461000
0.14831543,-63.77666000
0.14892578,-74.40749000
0.14953613,-64.36693000
0.15014648,-67.99336000
0.15075684,-58.17204000
0.15136719,-59.10843000
0.15197754,-55.81333000
0.15258789,-54.47117000
0.15319824,-63.02014000
0.15380859,-58.97947000
0.15441895,-55.95892000
0.15502930,-61.27764000
0.15563965,-61.16721000
0.15625000,-69.19133000
0.15686035,-63.96063000
0.15747070,-60.64770000
0.15808105,-59.63600000
0.15869141,-62.12669000
0.15930176,-71.72267000
0.15991211,-58.02009000
0.16052246,-72.66135000
0.16113281,-63.49719000
0.16174316,-67.82538000
0.16235352,-60.54354000
0.16296387,-56.99016000
0.16357422,-52.04549000
0.16418457,-53.74195000
0.16479492,-67.34077000
0.16540527,-62.22786000
0.16601563,-61.18991000
0.16662598,-62.15053000
0.16723633,-60.14732000
0.16784668,-58.43696000
0.16845703,-70.95433000
0.16906738,-68.86867000
0.16967773,-58.63045000
0.17028809,-60.03878000
0.17089844,-63.64573000
0.17150879,-60.55482000
0.17211914,-64.52840000
0.17272949,-55.63154000
0.17333984,-56.06094000
0.17395020,-60.73442000
0.17456055,-59.27283000
0.17517090,-55.73510000
0.17578125,-60.73088000
0.17639160,-59.90280000
0.17700195,-58.99043000
0.17761230,-61.74170000
0.17822266,-70.74796000
0.17883301,-63.59454000
0.17944336,-58.63353000
0.18005371,-56.42205000
0.18066406,-60.00866000
0.18127441,-61.54235000
0.18188477,-61.32639000
0.18249512,-56.56439000
0.18310547,-58.51671000
0.18371582,-58.16383000
0.18432617,-59.43830000
0.18493652,-63.33245000
0.18554688,-66.63177000
0.18615723,-65.72190000
0.18676758,-71.03369000
0.18737793,-63.02645000
0.18798828,-63.25129000
0.18859863,-60.03009000
0.18920898,-64.97017000
0.18981934,-57.03368000
0.19042969,-58.63150000
0.19104004,-55.58237000
0.19165039,-57.17428000
0.19226074,-61.88875000
0.19287109,-63.04451000
0.19348145,-59.52404000
0.19409180,-55.44644000
0.19470215,-62.05300000
0.19531250,-69.92987000
0.19592285,-61.69616000
0.19653320,-59.18169000
0.19714355,-59.20876000
0.19775391,-68.94847000
0.19836426,-63.12223000
0.19897461,-70.54315000
0.19958496,-61.53941000
0.20019531,-60.33216000
0.20080566,-57.97912000
0.20141602,-61.72836000
0.20202637,-65.66018000
0.20263672,-58.00594000
0.20324707,-59.70024000
0.20385742,-60.58060000
0.20446777,-66.70181000
0.20507813,-69.07966000
0.20568848,-64.26849000
0.20629883,-58.30659000
0.20690918,-58.17868000
0.20751953,-56.92954000
0.20812988,-58.67066000
0.20874023,-58.57071000
0.20935059,-57.32989000
0.20996094,-63.63552000
0.21057129,-59.33268000
0.21118164,-57.72318000
0.21179199,-64.33488000
0.21240234,-72.40114000
0.21301270,-73.34683000
0.21362305,-72.46390000
0.21423340,-65.70893000
0.21484375,-71.28918000
0.21545410,-64.26729000
0.21606445,-57.11097000
0.21667480,-73.28675000
0.21728516,-58.51585000
0.21789551,-57.08973000
0.21850586,-57.07821000
0.21911621,-58.49811000
0.21972656,-70.75476000
0.22033691,-63.28305000
0.22094727,-64.88177000
0.22155762,-72.19980000
0.22216797,-63.99517000
0.22277832,-60.95094000
0.22338867,-59.85806000
0.22399902,-61.88457000
0.22460938,-62.92344000
0.22521973,-66.55273000
0.22583008,-60.50623000
0.22644043,-63.93517000
0.22705078,-63.01172000
0.22766113,-65.08272000
0.22827148,-65.29866000
0.22888184,-60.51088000
0.22949219,-56.83612000
0.23010254,-61.31604000
0.23071289,-82.31818000
0.23132324,-63.13635000
0.23193359,-80.31441000
0.23254395,-63.05097000
0.23315430,-64.58321000
0.23376465,-63.89234000
0.23437500,-60.39070000
0.23498535,-70.92078000
0.23559570,-63.64885000
0.23620605,-67.85741000
0.23681641,-61.47377000
0.23742676,-63.82526000
0.23803711,-63.36534000
0.23864746,-61.01480000
0.23925781,-74.27876000
0.23986816,-66.46141000
0.24047852,-64.10831000
0.24108887,-65.34772000
0.24169922,-69.36045000
0.24230957,-68.91236000
0.24291992,-58.37691000
0.24353027,-62.28684000
0.24414063,-59.37835000
0.24475098,-59.36870000
0.24536133,-58.44452000
0.24597168,-62.27999000
0.24658203,-66.76672000
0.24719238,-60.97532000
0.24780273,-58.19835000
0.24841309,-65.44534000
0.24902344,-100.08040000
0.24963379,-72.86366000
0.25024414,-68.82471000
0.25085449,-75.18456000
0.25146484,-70.16637000
0.25207520,-63.32737000
0.25268555,-62.42938000
0.25329590,-59.30832000
0.25390625,-62.08976000
0.25451660,-64.23883000
0.25512695,-60.27701000
0.25573730,-61.54427000
0.25634766,-63.20148000
0.25695801,-65.35281000
0.25756836,-76.41511000
0.25817871,-70.27049000
0.25878906,-68.11543000
0.25939941,-67.87391000
0.26000977,-61.08346000
0.26062012,-68.04819000
0.26123047,-64.89553000
0.26184082,-62.26254000
0.26245117,-69.50806000
0.26306152,-62.43152000
0.26367188,-59.51994000
0.26428223,-63.43624000
0.26489258,-65.96436000
0.26550293,-68.10444000
0.26611328,-61.69746000
0.26672363,-62.51469000
0.26733398,-66.86249000
0.26794434,-59.59150000
0.26855469,-59.09586000
0.26916504,-73.10197000
0.26977539,-68.10651000
0.27038574,-62.59052000
0.27099609,-67.04126000
0.27160645,-62.15381000
0.27221680,-65.60980000
0.27282715,-67.89693000
0.27343750,-60.96611000
0.27404785,-63.16334000
0.27465820,-56.67333000
0.27526855,-57.27152000
0.27587891,-62.55045000
0.27648926,-64.49395000
0.27709961,-64.74103000
0.27770996,-67.93361000
0.27832031,-73.62159000
0.27893066,-67.11718000
0.27954102,-66.14238000
0.28015137,-65.10141000
0.28076172,-63.42956000
0.28137207,-62.11404000
0.28198242,-63.92162000
0.28259277,-86.90105000
0.28320313,-63.44982000
0.28381348,-60.79979000
0.28442383,-62.51038000
0.28503418,-63.30022000
0.28564453,-63.26423000
0.28625488,-66.41167000
0.28686523,-76.95203000
