X[Hz],50V,100V,200V,Background
15.25,1.876643e-05,5.78983e-06,4.89692e-06,2.362196e-08
15.375,1.693592e-05,4.774628e-06,6.92163e-06,2.1814880000000002e-08
15.5,1.8409860000000002e-05,6.0259109999999994e-06,4.933343e-06,2.650905e-08
15.625,2.123192e-05,4.7389850000000005e-06,6.099791e-06,2.3701150000000003e-08
15.75,1.805667e-05,6.5094799999999995e-06,6.186172e-06,1.898157e-08
15.875,1.792674e-05,5.585922e-06,5.603658e-06,2.359978e-08
16.0,1.9570650000000002e-05,5.20986e-06,6.3989729999999995e-06,2.128459e-08
16.125,1.824861e-05,6.175554e-06,6.796772e-06,2.164819e-08
16.25,1.868861e-05,3.454267e-06,6.284146e-06,2.633521e-08
16.375,1.808318e-05,4.481174e-06,5.50415e-06,2.536109e-08
16.5,1.833929e-05,4.147299e-06,6.33158e-06,2.160795e-08
16.625,1.742555e-05,5.294513e-06,5.3021640000000005e-06,2.9691919999999996e-08
16.75,1.8159270000000002e-05,4.085613e-06,5.17641e-06,2.7413810000000002e-08
16.875,2.143406e-05,3.968806e-06,5.146373999999999e-06,2.49438e-08
17.0,1.920248e-05,5.1814300000000005e-06,4.811629e-06,2.37586e-08
17.125,1.742586e-05,4.8577480000000006e-06,5.109506e-06,1.985208e-08
17.25,1.765766e-05,3.932792e-06,4.812284e-06,2.4437830000000002e-08
17.375,1.4845139999999999e-05,5.2950469999999995e-06,5.265249e-06,2.270493e-08
17.5,1.704694e-05,4.4446030000000005e-06,4.775251e-06,2.1369799999999998e-08
17.625,1.7158270000000003e-05,4.873079e-06,5.752132e-06,2.697767e-08
17.75,1.71235e-05,5.034621e-06,5.043093e-06,2.1873390000000002e-08
17.875,2.0693130000000002e-05,4.8647930000000004e-06,4.721242e-06,2.24251e-08
18.0,2.17064e-05,5.040583e-06,5.04127e-06,2.005598e-08
18.125,1.7578929999999997e-05,5.1552959999999995e-06,4.623926e-06,2.263554e-08
18.25,2.1286469999999998e-05,4.971035e-06,4.198431e-06,1.887981e-08
18.375,1.8478039999999998e-05,5.003515e-06,5.637661e-06,1.830725e-08
18.5,1.964539e-05,4.484824e-06,4.754312e-06,1.942361e-08
18.625,1.951751e-05,4.973878000000001e-06,5.142686e-06,2.09456e-08
18.75,1.763989e-05,4.426915e-06,5.120095e-06,2.009582e-08
18.875,1.7405410000000002e-05,5.378343e-06,4.426368e-06,1.823269e-08
19.0,1.696461e-05,4.555059e-06,4.3770100000000005e-06,1.969212e-08
19.125,1.680368e-05,4.797078e-06,3.558845e-06,1.7218050000000002e-08
19.25,1.4999189999999998e-05,4.628138e-06,5.600338e-06,2.126334e-08
19.375,1.849056e-05,4.205378e-06,5.298226e-06,2.4045360000000003e-08
19.5,1.8402049999999998e-05,4.876264e-06,4.3127499999999995e-06,2.111269e-08
19.625,1.839183e-05,5.236743e-06,3.900703e-06,2.367532e-08
19.75,2.034957e-05,4.524456e-06,4.091718e-06,1.4425099999999999e-08
19.875,1.517545e-05,4.9938110000000005e-06,3.795731e-06,1.917168e-08
20.0,1.732668e-05,4.852519e-06,4.335193e-06,1.9237220000000003e-08
20.125,1.7928529999999998e-05,4.708447e-06,4.820756e-06,2.2625889999999998e-08
20.25,2.1503070000000002e-05,4.543922999999999e-06,4.339346e-06,1.776888e-08
20.375,1.8048879999999998e-05,4.65508e-06,5.138791e-06,1.9447560000000002e-08
20.5,2.0508429999999997e-05,5.358239999999999e-06,4.425445000000001e-06,2.111558e-08
