---Measurement Setup-----------------------------------------------------------------
Device Type: Bode100
Serial Number: LG278C
Date: 5/18/2016
Time: 5:22 PM
Start Frequency (Hz): 10
Stop Frequency (Hz): 40000000
Number of Points: 1601
Sweep Mode: Logarithmic
Reference Resistance (Ohm): 50
Source Level (dBm): -10
Receiver Bandwidth (Hz): 300
Reference Signal: SourceVoltage
Attenuator CH1 (dB): 10
Attenuator CH2 (dB): 10
Input Impedance CH1 (Ohm): 1M
Input Impedance CH2 (Ohm): 1M
Probe CH1: 1:1
Probe CH2: 1:1
-------------------------------------------------------------------------------------
Frequency (Hz),TR1: Gain (Real),TR1: Gain (Imag),TR1: Gain (dB),TR1 (Without piezo): Gain (Real),TR1 (Without piezo): Gain (Imag),TR1 (Without piezo): Gain (dB),TR1 (With piezo): Gain (Real),TR1 (With piezo): Gain (Imag),TR1 (With piezo): Gain (dB),TR1 (1u cap): Gain (Real),TR1 (1u cap): Gain (Imag),TR1 (1u cap): Gain (dB),TR2: Gain (Real),TR2: Gain (Imag),TR2: Gain Unwrapped (Degree),TR2 (1u cap): Gain (Real),TR2 (1u cap): Gain (Imag),TR2 (1u cap): Gain Unwrapped (Degree)
10.9967126016641,0.989436787302681,0.0392028508193905,-0.0854264893673359,0.989601487086217,0.0390358496114424,-0.0840408916092275,0.989237251532628,0.0391068478984385,-0.0872088805952386,0.989436787302681,0.0392028508193905,-0.0854264893673359,0.989436787302681,0.0392028508193905,2.26895103528782,0.989436787302681,0.0392028508193905,2.26895103528782
11.101691696687,0.989619926460685,0.0389403221866494,-0.083912280229944,0.989506905005951,0.0387242076561949,-0.0849771254402783,0.989256119074152,0.0389249786054114,-0.08710635778608,0.989619926460685,0.0389403221866494,-0.083912280229944,0.989619926460685,0.0389403221866494,2.25335568256127,0.989619926460685,0.0389403221866494,2.25335568256127
11.2076729648858,0.989618589056104,0.0385695008809975,-0.0840512641713616,0.989534820553959,0.0384365549386698,-0.0848307550772275,0.989378833281682,0.0384089598937116,-0.0862074111975872,0.989618589056104,0.0385695008809975,-0.0840512641713616,0.989618589056104,0.0385695008809975,2.23192222218102,0.989618589056104,0.0385695008809975,2.23192222218102
11.3146659734136,0.989759785970671,0.0382720866043521,-0.0829151100881645,0.989534665250924,0.0377190636338902,-0.0850741066779575,0.98953136876395,0.0380913329916964,-0.0849780107320345,0.989759785970671,0.0382720866043521,-0.0829151100881645,0.989759785970671,0.0382720866043521,2.21441316020363,0.989759785970671,0.0382720866043521,2.21441316020363
11.4226803807553,0.989719533959531,0.0378791972160074,-0.0834002857031397,0.989655018935527,0.037558869604693,-0.0840726639115989,0.989432265596999,0.0377446466550413,-0.0859631355611202,0.989719533959531,0.0378791972160074,-0.0834002857031397,0.989719533959531,0.0378791972160074,2.19179201419828,0.989719533959531,0.0378791972160074,2.19179201419828
11.5317259375998,0.989770146505484,0.0374451424956103,-0.0831014981396418,0.989472713010001,0.037245309117514,-0.085774448145545,0.98979970364716,0.0374547119474447,-0.0828393164334357,0.989770146505484,0.0374451424956103,-0.0831014981396418,0.989770146505484,0.0374451424956103,2.16658982915967,0.989770146505484,0.0374451424956103,2.16658982915967
11.6418124877202,0.989657970554793,0.0370216074254199,-0.084224218520553,0.98962168646522,0.0368230630294451,-0.0846071583522057,0.989674887421358,0.0371392041526231,-0.0840373383889561,0.989657970554793,0.0370216074254199,-0.084224218520553,0.989657970554793,0.0370216074254199,2.14234947049879,0.989657970554793,0.0370216074254199,2.14234947049879
11.7529499688618,0.989803654069146,0.0366154921619821,-0.0830798674489764,0.989968866244266,0.0365151778847204,-0.0816646365611813,0.98984178248072,0.0366583401603756,-0.0827318428058858,0.989803654069146,0.0366154921619821,-0.0830798674489764,0.989803654069146,0.0366154921619821,2.11855853730563,0.989803654069146,0.0366154921619821,2.11855853730563
11.8651484136402,0.989938490100846,0.0361457541323235,-0.0820495938199067,0.989930618363418,0.03598475733755,-0.0821699667743778,0.989810462300192,0.0362880580172517,-0.0831258776326232,0.989938490100846,0.0361457541323235,-0.0820495938199067,0.989938490100846,0.0361457541323235,2.09111935462885,0.989938490100846,0.0361457541323235,2.09111935462885
11.978417950446,0.990044077634935,0.0361294495681897,-0.0811296477340197,0.989826930636222,0.0358239752643961,-0.0831297051830284,0.990041774868406,0.0361784771484803,-0.0811341371438369,0.990044077634935,0.0361294495681897,-0.0811296477340197,0.990044077634935,0.0361294495681897,2.08995421470278,0.990044077634935,0.0361294495681897,2.08995421470278
12.0927688043597,0.990042845864492,0.0357647369496791,-0.0812564642170908,0.99000640259647,0.0355677184775528,-0.0816379718094626,0.989892537699761,0.035689666590742,-0.0825972791179488,0.990042845864492,0.0357647369496791,-0.0812564642170908,0.990042845864492,0.0357647369496791,2.06887794547716,0.990042845864492,0.0357647369496791,2.06887794547716
12.2082112980748,0.990188445307282,0.0354199688625907,-0.0800894107214312,0.990087454069746,0.0351251996468183,-0.0810662244844852,0.990067391773031,0.0353596019710254,-0.0811689010045527,0.990188445307282,0.0354199688625907,-0.0800894107214312,0.990188445307282,0.0354199688625907,2.04865024826072,0.990188445307282,0.0354199688625907,2.04865024826072
12.324755852829,0.990200371913828,0.0350943199822897,-0.0800865068708483,0.990312628755891,0.0347770489274401,-0.0792011434283036,0.990060507925488,0.035106546621544,-0.0813081219654878,0.990200371913828,0.0350943199822897,-0.0800865068708483,0.990200371913828,0.0350943199822897,2.02980649246361,0.990200371913828,0.0350943199822897,2.02980649246361
12.4424129893457,0.990431735009727,0.0351395747761418,-0.0780457525710824,0.990341620076125,0.0345695147725659,-0.0790108313871256,0.990158392918908,0.0348738995321929,-0.0805225178016818,0.990431735009727,0.0351395747761418,-0.0780457525710824,0.990431735009727,0.0351395747761418,2.03194740075453,0.990431735009727,0.0351395747761418,2.03194740075453
12.5611933287833,0.990252788796174,0.0340661015416947,-0.0799418644252235,0.990271325195689,0.0339836634715177,-0.0798042834231078,0.990015933568192,0.0344663082973679,-0.0818958212339257,0.990252788796174,0.0340661015416947,-0.0799418644252235,0.990252788796174,0.0340661015416947,1.97027914115159,0.990252788796174,0.0340661015416947,1.97027914115159
12.6811075936941,0.990190113464534,0.0341372349638114,-0.0804695174145972,0.990440611308142,0.0337782051990298,-0.078382874679216,0.990186243598007,0.0338957368804068,-0.080576112879996,0.990190113464534,0.0341372349638114,-0.0804695174145972,0.990190113464534,0.0341372349638114,1.97451490058444,0.990190113464534,0.0341372349638114,1.97451490058444
12.8021666089923,0.990179575168546,0.0337445498463327,-0.0806797848520521,0.990361716445324,0.0336984456695756,-0.0790977872766366,0.990220526911279,0.033621730431874,-0.0803575828074316,0.990179575168546,0.0337445498463327,-0.0806797848520521,0.990179575168546,0.0337445498463327,1.95184022190461,0.990179575168546,0.0337445498463327,1.95184022190461
12.924381302931,0.990337778428461,0.0334569701236221,-0.0793792188856096,0.990271799575848,0.0332875013590569,-0.0800072912940963,0.990299408545551,0.0335683154571289,-0.0796823584412045,0.990337778428461,0.0334569701236221,-0.0793792188856096,0.990337778428461,0.0334569701236221,1.93490993049828,0.990337778428461,0.0334569701236221,1.93490993049828
13.0477627080892,0.990506239361946,0.0332262035130994,-0.0779715598642265,0.990480816032445,0.0327722284792784,-0.0783267407336392,0.990379115221798,0.0330492575151128,-0.0791370145305305,0.990506239361946,0.0332262035130994,-0.0779715598642265,0.990506239361946,0.0332262035130994,1.92124752558139,0.990506239361946,0.0332262035130994,1.92124752558139
13.1723219623669,0.990589644050435,0.0326163779072114,-0.0774185379281573,0.99021181045378,0.0328370712108571,-0.0806646664111525,0.990531825776215,0.0327166542605675,-0.0778960103841212,0.990589644050435,0.0326163779072114,-0.0774185379281573,0.990589644050435,0.0326163779072114,1.8858524410689,0.990589644050435,0.0326163779072114,1.8858524410689
13.2980703099913,0.990500715848751,0.0324938832340366,-0.0782327540379784,0.990535766797413,0.0323697139766465,-0.0779613332294067,0.990786843988665,0.0321905127125228,-0.0758134233851632,0.990500715848751,0.0324938832340366,-0.0782327540379784,0.990500715848751,0.0324938832340366,1.87894354160903,0.990500715848751,0.0324938832340366,1.87894354160903
13.4250191025317,0.99060051373876,0.0320358538454968,-0.0774892632958075,0.990445354320164,0.0321183165240477,-0.0788250371052661,0.990523732714382,0.032188394417022,-0.0781185061059692,0.99060051373876,0.0320358538454968,-0.0774892632958075,0.99060051373876,0.0320358538454968,1.85229029528549,0.99060051373876,0.0320358538454968,1.85229029528549
13.5531797999237,0.990706337172456,0.0318365011644932,-0.0766186729046648,0.990762526358584,0.0316336321489188,-0.0761834731341402,0.990654516326759,0.0317134126429986,-0.0771071286861107,0.990706337172456,0.0318365011644932,-0.0766186729046648,0.990706337172456,0.0318365011644932,1.84057533080198,0.990706337172456,0.0318365011644932,1.84057533080198
13.6825639715046,0.990556654459451,0.0314972293655423,-0.0780247507957804,0.990615135813434,0.0313092751165317,-0.0775646695864715,0.990712098375506,0.0314784836661454,-0.0766684120596516,0.990556654459451,0.0314972293655423,-0.0780247507957804,0.990556654459451,0.0314972293655423,1.82124914395198,0.990556654459451,0.0314972293655423,1.82124914395198
13.8131832970569,0.990738193649471,0.0312756188343789,-0.0764961305952975,0.990752750745841,0.0310892540785351,-0.0764200073593475,0.990707039338501,0.0313165167642531,-0.0767576798607705,0.990738193649471,0.0312756188343789,-0.0764961305952975,0.990738193649471,0.0312756188343789,1.80811245131572,0.990738193649471,0.0312756188343789,1.80811245131572
13.9450495678634,0.990928679824975,0.0309112750038045,-0.0749280551485224,0.991067224638899,0.0306906236939835,-0.0737749617536613,0.990905522367976,0.0309924864975798,-0.0751086304304643,0.990928679824975,0.0309112750038045,-0.0749280551485224,0.990928679824975,0.0309112750038045,1.78671936570694,0.990928679824975,0.0309112750038045,1.78671936570694
14.0781746877708,0.990778119952735,0.0306024921122637,-0.0763305436824436,0.990842540647352,0.0304738552079729,-0.0758010628133608,0.990975324029718,0.0307046664571692,-0.0745758514848766,0.990778119952735,0.0306024921122637,-0.0763305436824436,0.990778119952735,0.0306024921122637,1.76915126522942,0.990778119952735,0.0306024921122637,1.76915126522942
14.2125706742653,0.990674248645651,0.0304300739220672,-0.0772868573081631,0.990862017813514,0.0302752688159896,-0.075683799563111,0.990831203348918,0.0305070028006111,-0.075891420640542,0.990674248645651,0.0304300739220672,-0.0772868573081631,0.990674248645651,0.0304300739220672,1.75937426475637,0.990674248645651,0.0304300739220672,1.75937426475637
